"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,ELA,Male,167,151,166,135,*,*,32.30%,31.10%,24.10%,28.10%,*,*,57.90%,56.40%,44.10%,50.30%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,ELA,Female,167,176,157,150,*,*,42.50%,34.70%,33.80%,39.30%,*,*,65.80%,56.60%,57.80%,59.00%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,Math,Male,167,151,166,135,*,*,30.50%,32.50%,35.50%,33.30%,*,*,52.80%,48.40%,56.80%,51.90%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,Math,Female,167,176,157,150,*,*,42.50%,31.80%,35.70%,32.00%,*,*,63.80%,53.80%,58.50%,56.40%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,ELA,Male,*,*,*,*,134,120,*,*,*,*,32.10%,26.70%,*,*,*,*,51.80%,46.80%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,ELA,Female,*,*,*,*,136,140,*,*,*,*,28.70%,26.40%,*,*,*,*,48.80%,46.20%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,Math,Male,*,*,*,*,130,119,*,*,*,*,30.00%,27.70%,*,*,*,*,49.00%,43.90%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,Math,Female,*,*,*,*,125,140,*,*,*,*,24.00%,30.70%,*,*,*,*,42.70%,51.10%
0030011,Ashford School District,0030111,Ashford School,ELA,Male,97,91,84,88,89,96,36.10%,37.40%,31.00%,30.70%,33.70%,33.30%,55.90%,53.50%,59.80%,48.30%,53.60%,56.20%
0030011,Ashford School District,0030111,Ashford School,ELA,Female,97,103,100,101,75,75,39.20%,42.70%,42.00%,38.60%,36.00%,36.00%,62.80%,60.90%,59.20%,62.10%,59.10%,55.20%
0030011,Ashford School District,0030111,Ashford School,Math,Male,96,91,84,88,88,95,43.80%,38.50%,38.10%,31.80%,43.20%,44.20%,61.40%,53.50%,57.50%,50.50%,60.90%,64.30%
0030011,Ashford School District,0030111,Ashford School,Math,Female,97,103,100,100,75,74,40.20%,30.10%,47.00%,37.00%,32.00%,40.50%,55.30%,45.60%,64.70%,55.70%,54.80%,61.00%
0040011,Avon School District,0045111,Avon Middle School,ELA,Male,277,288,271,232,227,248,52.00%,41.00%,53.10%,48.70%,41.00%,40.70%,70.10%,56.40%,69.20%,63.70%,56.90%,54.80%
0040011,Avon School District,0045111,Avon Middle School,ELA,Female,241,234,253,249,250,243,57.30%,47.00%,52.60%,58.20%,49.60%,44.40%,70.00%,62.10%,68.90%,73.70%,64.90%,59.70%
0040011,Avon School District,0045111,Avon Middle School,Math,Male,276,286,271,232,226,247,66.30%,61.20%,69.40%,63.80%,55.30%,50.60%,79.10%,75.80%,85.50%,74.10%,66.70%,64.00%
0040011,Avon School District,0045111,Avon Middle School,Math,Female,242,234,253,248,248,243,64.50%,67.10%,68.00%,60.50%,49.20%,43.60%,83.90%,81.10%,83.30%,76.10%,63.90%,58.70%
0040011,Avon School District,0040411,Pine Grove School,ELA,Male,50,64,47,67,50,42,50.00%,40.60%,48.90%,55.20%,34.00%,38.10%,71.40%,64.30%,72.80%,71.60%,66.00%,54.80%
0040011,Avon School District,0040411,Pine Grove School,ELA,Female,52,57,71,68,64,64,50.00%,52.60%,49.30%,54.40%,40.60%,50.00%,69.90%,73.40%,66.50%,73.50%,72.40%,70.30%
0040011,Avon School District,0040411,Pine Grove School,Math,Male,53,64,47,67,50,42,54.70%,62.50%,51.10%,47.80%,44.00%,33.30%,79.10%,84.40%,73.20%,75.30%,75.80%,64.80%
0040011,Avon School District,0040411,Pine Grove School,Math,Female,53,57,71,68,64,64,32.10%,33.30%,40.80%,38.20%,48.40%,29.70%,62.10%,67.50%,68.70%,74.10%,71.30%,61.90%
