"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0150011,Bridgeport School District,ELA,Non-Special Education,5651,5729,5682,5758,4614,5130,32.30%,27.60%,37.20%,31.70%,39.40%,27.50%,56.10%,50.00%,61.70%,54.70%,62.90%,50.60%
0150011,Bridgeport School District,Math,Special Education,946,1031,1112,1213,974,1179,28.60%,27.70%,30.10%,28.40%,29.00%,29.00%,48.40%,49.10%,49.90%,47.30%,47.30%,47.60%
0150011,Bridgeport School District,Math,Non-Special Education,5773,5721,5656,5743,4419,5116,29.20%,36.40%,33.50%,32.80%,37.60%,31.10%,51.30%,57.00%,54.50%,53.70%,58.60%,50.90%
0170011,Bristol School District,ELA,Special Education,491,485,480,525,458,499,34.00%,26.00%,31.00%,23.20%,37.10%,27.70%,58.00%,47.00%,56.20%,45.50%,59.10%,50.30%
0170011,Bristol School District,ELA,Non-Special Education,2274,2370,2373,2375,2007,2084,43.80%,36.70%,39.40%,35.10%,46.90%,40.10%,65.60%,56.50%,61.30%,55.70%,68.00%,59.30%
0170011,Bristol School District,Math,Special Education,491,482,476,513,440,486,35.20%,28.40%,34.70%,30.60%,35.50%,38.70%,56.10%,48.20%,53.70%,49.10%,55.70%,57.60%
0170011,Bristol School District,Math,Non-Special Education,2291,2367,2364,2365,1972,2074,44.70%,39.00%,40.20%,36.40%,55.20%,48.00%,67.70%,60.50%,60.40%,56.10%,74.20%,67.70%
0180011,Brookfield School District,ELA,Special Education,110,118,123,121,103,105,31.80%,31.40%,30.90%,33.90%,28.20%,38.10%,50.30%,51.20%,56.60%,55.80%,52.10%,57.10%
0180011,Brookfield School District,ELA,Non-Special Education,847,836,808,777,741,762,45.10%,43.30%,45.50%,45.00%,43.00%,49.50%,65.00%,62.20%,64.10%,66.50%,62.10%,69.50%
0180011,Brookfield School District,Math,Special Education,109,117,123,120,102,104,45.00%,39.30%,28.50%,48.30%,35.30%,47.10%,66.30%,57.50%,44.90%,68.10%,51.40%,68.40%
0180011,Brookfield School District,Math,Non-Special Education,848,832,805,775,739,759,45.80%,54.00%,50.40%,56.40%,48.20%,53.90%,68.20%,74.10%,70.60%,78.10%,68.80%,74.70%
0190011,Brooklyn School District,ELA,Special Education,32,31,49,57,60,77,21.90%,35.50%,32.70%,22.80%,31.70%,36.40%,51.20%,63.70%,48.20%,44.40%,51.90%,61.30%
0190011,Brooklyn School District,ELA,Non-Special Education,391,358,366,364,325,338,50.90%,43.30%,50.00%,39.00%,42.20%,42.60%,70.40%,61.40%,68.10%,59.60%,62.20%,62.40%
0190011,Brooklyn School District,Math,Special Education,32,30,50,58,60,77,21.90%,53.30%,16.00%,31.00%,45.00%,40.30%,53.40%,71.40%,33.10%,57.10%,64.20%,65.00%
0190011,Brooklyn School District,Math,Non-Special Education,391,358,366,364,323,339,39.90%,44.70%,46.20%,43.40%,45.50%,43.70%,59.30%,64.20%,67.10%,63.00%,65.60%,65.00%
0210011,Canaan School District,ELA,Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,ELA,Non-Special Education,*,*,*,*,*,*,57.10%,30.30%,45.50%,50.00%,34.50%,50.00%,73.60%,49.80%,68.80%,65.10%,47.70%,70.00%
0210011,Canaan School District,Math,Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,Math,Non-Special Education,*,*,*,*,*,*,22.90%,36.40%,48.50%,53.60%,41.40%,46.90%,47.20%,50.80%,71.70%,71.70%,55.70%,68.10%
0220011,Canterbury School District,ELA,Special Education,21,24,26,22,18,22,38.10%,33.30%,38.50%,27.30%,*,31.80%,66.20%,45.50%,51.10%,44.80%,*,57.40%
0220011,Canterbury School District,ELA,Non-Special Education,227,213,184,193,200,213,44.90%,27.70%,35.30%,36.30%,43.50%,39.00%,66.90%,44.10%,58.60%,57.70%,63.60%,60.40%
0220011,Canterbury School District,Math,Special Education,21,24,26,21,16,20,33.30%,12.50%,19.20%,28.60%,*,35.00%,51.70%,42.40%,32.70%,52.80%,*,48.20%
0220011,Canterbury School District,Math,Non-Special Education,227,213,184,193,198,212,45.40%,46.50%,26.60%,36.80%,40.90%,57.10%,69.10%,65.40%,48.40%,61.20%,59.30%,79.90%
0230011,Canton School District,ELA,Special Education,74,71,66,73,77,92,29.70%,18.30%,12.10%,19.20%,23.40%,21.70%,56.10%,44.90%,35.20%,43.30%,42.20%,45.90%
