"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2630013,Odyssey Community School District,Math,Male,92,97,89,90,81,90,35.90%,33.00%,29.20%,52.20%,59.30%,45.60%,57.10%,51.10%,50.00%,70.10%,80.70%,65.80%
2630013,Odyssey Community School District,Math,Female,83,78,89,87,82,82,30.10%,48.70%,33.70%,44.80%,51.20%,47.60%,50.70%,67.00%,58.80%,66.70%,71.20%,69.20%
1060011,Old Saybrook School District,ELA,Male,262,241,215,219,192,189,45.40%,41.50%,33.50%,57.50%,39.10%,43.40%,63.00%,61.70%,51.10%,74.80%,60.80%,64.30%
1060011,Old Saybrook School District,ELA,Female,239,228,201,213,179,189,45.60%,44.70%,36.30%,64.80%,52.50%,49.20%,68.00%,63.90%,55.40%,82.40%,71.30%,70.40%
1060011,Old Saybrook School District,Math,Male,264,241,214,218,189,188,47.70%,47.30%,44.90%,59.20%,56.60%,42.00%,69.20%,66.30%,61.70%,80.20%,77.80%,60.10%
1060011,Old Saybrook School District,Math,Female,239,228,200,212,178,187,50.60%,42.10%,48.00%,64.20%,54.50%,34.80%,72.10%,62.70%,69.00%,81.60%,74.70%,55.70%
1070011,Orange School District,ELA,Male,253,257,254,262,267,252,55.30%,49.00%,45.70%,45.80%,49.10%,41.70%,76.80%,70.90%,68.90%,66.40%,69.60%,64.30%
1070011,Orange School District,ELA,Female,256,242,229,233,231,253,52.30%,60.70%,57.60%,60.50%,57.60%,54.50%,71.20%,78.90%,74.60%,80.30%,77.40%,74.70%
1070011,Orange School District,Math,Male,255,257,254,260,267,251,53.70%,63.00%,49.20%,52.70%,56.90%,57.40%,76.00%,86.50%,70.40%,75.90%,77.80%,75.30%
1070011,Orange School District,Math,Female,259,242,228,232,231,252,46.70%,64.00%,56.10%,56.50%,56.30%,50.00%,72.40%,86.90%,78.90%,78.00%,78.80%,75.70%
1080011,Oxford School District,ELA,Male,382,364,352,340,309,317,36.60%,34.90%,38.40%,44.70%,38.50%,39.10%,54.70%,53.20%,59.70%,63.30%,58.90%,57.70%
1080011,Oxford School District,ELA,Female,394,403,386,373,289,282,41.60%,40.70%,43.50%,38.90%,40.10%,32.60%,59.70%,60.70%,63.60%,62.60%,58.90%,52.10%
1080011,Oxford School District,Math,Male,382,363,350,339,305,314,47.90%,36.40%,38.90%,45.40%,50.20%,43.30%,69.20%,55.50%,60.40%,63.20%,68.10%,61.80%
1080011,Oxford School District,Math,Female,393,403,384,373,290,280,48.30%,32.50%,43.80%,37.80%,45.50%,34.30%,72.20%,54.40%,65.70%,60.60%,64.20%,53.90%
2830013,Park City Prep Charter School District,ELA,Male,166,182,179,185,152,188,42.80%,30.20%,33.50%,48.10%,57.90%,43.60%,67.40%,53.90%,54.10%,71.00%,77.10%,63.40%
2830013,Park City Prep Charter School District,ELA,Female,171,157,164,161,158,162,49.70%,40.80%,34.80%,58.40%,57.00%,45.10%,74.10%,62.60%,55.20%,80.50%,77.30%,67.20%
2830013,Park City Prep Charter School District,Math,Male,166,180,177,183,145,184,54.20%,31.10%,44.10%,57.90%,57.90%,53.30%,72.80%,51.40%,60.60%,78.90%,76.30%,71.40%
2830013,Park City Prep Charter School District,Math,Female,170,155,163,158,145,156,60.60%,35.50%,49.10%,67.10%,60.00%,55.80%,81.20%,58.00%,68.70%,83.50%,75.20%,78.30%
1090011,Plainfield School District,ELA,Male,409,391,393,374,349,332,45.50%,36.60%,36.10%,39.80%,38.70%,41.00%,67.70%,56.50%,56.50%,60.70%,58.80%,60.20%
1090011,Plainfield School District,ELA,Female,393,394,385,385,340,337,50.40%,39.10%,40.50%,42.60%,38.50%,44.80%,74.00%,58.00%,60.30%,62.20%,61.80%,66.40%
1090011,Plainfield School District,Math,Male,408,391,393,374,350,331,57.10%,42.20%,36.40%,37.20%,41.10%,48.60%,78.90%,62.30%,54.00%,58.40%,62.90%,67.80%
1090011,Plainfield School District,Math,Female,391,394,385,386,337,336,55.50%,41.40%,39.70%,38.90%,39.80%,43.20%,80.40%,59.80%,61.30%,60.40%,62.10%,66.40%
1100011,Plainville School District,ELA,Male,453,433,422,423,429,447,41.10%,32.10%,46.90%,43.30%,31.00%,41.40%,63.40%,54.10%,66.30%,62.10%,50.40%,62.10%
1100011,Plainville School District,ELA,Female,403,415,420,403,389,372,44.90%,37.60%,44.00%,44.70%,39.80%,41.70%,68.40%,57.90%,64.50%,65.10%,59.20%,61.50%
1100011,Plainville School District,Math,Male,454,433,421,423,429,447,41.00%,37.40%,57.00%,45.60%,44.30%,58.80%,64.50%,57.10%,76.90%,63.70%,65.50%,77.20%
1100011,Plainville School District,Math,Female,402,413,419,403,386,370,38.30%,38.00%,52.00%,42.90%,36.30%,49.20%,62.80%,59.40%,73.40%,63.50%,56.60%,71.20%
1110011,Plymouth School District,ELA,Male,277,284,287,282,241,257,44.40%,28.20%,27.20%,46.50%,31.10%,27.20%,64.60%,49.00%,46.40%,66.50%,52.50%,47.70%
1110011,Plymouth School District,ELA,Female,259,253,269,259,209,206,43.20%,34.40%,31.20%,51.00%,39.70%,33.50%,63.50%,55.30%,51.30%,71.90%,58.70%,55.10%
1110011,Plymouth School District,Math,Male,279,284,285,282,240,257,45.90%,40.10%,36.50%,47.20%,40.40%,38.10%,69.80%,59.70%,54.20%,69.00%,59.70%,59.70%
1110011,Plymouth School District,Math,Female,260,253,269,259,207,203,53.80%,41.50%,43.50%,41.70%,49.30%,32.50%,77.80%,62.90%,65.40%,63.60%,70.80%,56.10%
1120011,Pomfret School District,ELA,Male,116,103,107,115,101,107,47.40%,32.00%,50.50%,32.20%,45.50%,44.90%,65.70%,56.40%,74.80%,49.90%,62.40%,61.90%
1120011,Pomfret School District,ELA,Female,105,99,91,90,79,81,56.20%,35.40%,54.90%,48.90%,48.10%,33.30%,75.50%,51.70%,74.80%,64.40%,62.00%,51.70%
1120011,Pomfret School District,Math,Male,116,102,107,114,101,108,50.90%,44.10%,31.80%,42.10%,43.60%,53.70%,71.20%,61.40%,53.80%,60.60%,62.40%,71.60%
1120011,Pomfret School District,Math,Female,105,99,91,90,79,81,46.70%,46.50%,44.00%,47.80%,31.60%,49.40%,65.20%,64.80%,61.80%,64.50%,53.80%,68.90%
1130011,Portland School District,ELA,Male,260,259,248,244,257,271,43.80%,34.70%,39.50%,33.60%,39.30%,37.60%,64.60%,49.80%,57.10%,52.20%,58.50%,55.70%
1130011,Portland School District,ELA,Female,248,248,248,229,224,216,54.00%,43.10%,55.60%,45.40%,42.40%,47.70%,71.30%,59.40%,69.30%,62.80%,62.30%,67.80%
1130011,Portland School District,Math,Male,260,259,248,244,253,271,47.30%,40.90%,44.80%,48.80%,47.40%,41.70%,71.80%,61.20%,65.90%,67.90%,65.10%,58.50%
1130011,Portland School District,Math,Female,248,247,246,228,223,214,47.60%,41.70%,48.80%,47.40%,49.80%,42.10%,69.10%,60.30%,71.10%,70.00%,66.60%,61.00%
1140011,Preston School District,ELA,Male,98,100,109,101,104,115,34.70%,35.00%,26.60%,38.60%,46.20%,37.40%,54.10%,58.50%,48.80%,64.00%,67.70%,60.20%
1140011,Preston School District,ELA,Female,117,120,113,113,96,93,38.50%,44.20%,38.90%,39.80%,55.20%,47.30%,56.70%,64.30%,56.20%,56.70%,70.40%,68.60%
1140011,Preston School District,Math,Male,97,100,108,101,104,116,35.10%,40.00%,37.00%,37.60%,31.70%,37.90%,59.20%,63.50%,55.10%,60.80%,53.50%,63.20%
1140011,Preston School District,Math,Female,117,120,113,113,96,93,48.70%,41.70%,30.10%,42.50%,34.40%,47.30%,65.40%,61.10%,52.10%,66.10%,54.70%,71.60%
1160011,Putnam School District,ELA,Male,201,198,217,219,184,199,44.30%,33.30%,40.60%,28.80%,25.00%,25.60%,64.40%,57.10%,61.10%,47.60%,47.60%,44.40%
1160011,Putnam School District,ELA,Female,194,199,187,189,169,184,43.30%,43.20%,33.70%,36.00%,29.60%,23.40%,63.70%,63.30%,57.30%,55.40%,51.00%,44.30%
1160011,Putnam School District,Math,Male,201,191,212,218,180,197,48.30%,34.00%,25.90%,30.30%,40.00%,23.40%,68.10%,56.80%,48.30%,49.30%,58.70%,46.90%
1160011,Putnam School District,Math,Female,194,193,182,187,167,183,48.50%,36.80%,31.90%,26.70%,39.50%,19.70%,71.50%,54.90%,52.90%,49.60%,63.40%,42.20%
1170011,Redding School District,ELA,Male,273,254,245,230,203,193,49.10%,36.60%,46.50%,47.80%,42.90%,45.60%,66.40%,52.60%,63.30%,62.90%,60.50%,61.80%
1170011,Redding School District,ELA,Female,229,257,250,216,183,211,54.10%,40.10%,56.80%,50.50%,53.60%,52.10%,72.00%,54.50%,73.30%,68.40%,72.50%,68.60%
1170011,Redding School District,Math,Male,271,254,243,229,202,190,56.50%,47.60%,53.90%,54.10%,60.90%,47.90%,76.90%,67.00%,72.00%,69.50%,77.20%,69.20%
1170011,Redding School District,Math,Female,225,257,250,215,182,209,54.70%,50.60%,62.40%,61.90%,60.40%,51.20%,72.80%,68.10%,79.40%,79.00%,80.20%,68.40%
2010012,Regional School District 01,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2040012,Regional School District 04,ELA,Male,150,150,142,130,94,100,39.30%,36.00%,37.30%,27.70%,28.70%,23.00%,53.90%,52.30%,53.80%,40.40%,45.60%,34.80%
2040012,Regional School District 04,ELA,Female,150,168,168,142,127,119,46.00%,44.00%,49.40%,42.30%,30.70%,34.50%,61.20%,58.50%,62.90%,56.40%,44.60%,49.60%
2040012,Regional School District 04,Math,Male,150,148,141,129,94,101,43.30%,50.70%,42.60%,35.70%,37.20%,30.70%,58.80%,64.80%,58.20%,50.50%,53.10%,41.40%
2040012,Regional School District 04,Math,Female,150,166,166,142,124,120,39.30%,44.00%,45.80%,43.70%,33.10%,35.00%,59.10%,61.20%,59.60%,60.00%,48.40%,48.60%
2050012,Regional School District 05,ELA,Male,358,355,336,319,348,347,50.30%,40.00%,55.40%,44.20%,40.50%,42.10%,68.00%,59.20%,72.20%,59.60%,55.90%,56.50%
2050012,Regional School District 05,ELA,Female,356,375,345,311,325,326,51.40%,49.60%,62.60%,52.40%,48.90%,45.70%,70.70%,63.90%,77.10%,67.60%,62.90%,59.00%
2050012,Regional School District 05,Math,Male,358,355,335,319,342,344,58.10%,60.60%,57.90%,58.60%,58.20%,53.50%,72.70%,74.80%,73.60%,72.80%,71.40%,67.40%
2050012,Regional School District 05,Math,Female,356,375,344,308,319,323,58.10%,55.70%,66.90%,65.60%,55.20%,56.70%,75.30%,70.00%,81.50%,78.00%,70.60%,71.40%
2060012,Regional School District 06,ELA,Male,120,117,114,114,122,127,38.30%,33.30%,50.00%,41.20%,41.00%,39.40%,54.50%,52.50%,72.40%,56.90%,60.40%,58.40%
2060012,Regional School District 06,ELA,Female,124,109,109,119,120,121,52.40%,41.30%,56.90%,44.50%,44.20%,43.80%,71.70%,56.10%,76.60%,61.60%,63.90%,62.70%
2060012,Regional School District 06,Math,Male,119,118,114,114,120,125,31.90%,41.50%,50.00%,43.90%,45.80%,65.60%,52.70%,63.00%,70.10%,66.80%,62.30%,77.50%
2060012,Regional School District 06,Math,Female,123,108,104,118,120,120,48.80%,35.20%,55.80%,55.10%,45.00%,60.00%,66.40%,62.30%,77.50%,72.90%,67.20%,84.20%
2070012,Regional School District 07,ELA,Male,156,159,129,129,117,121,44.90%,37.70%,42.60%,51.20%,41.00%,41.30%,63.50%,51.00%,58.20%,66.40%,56.40%,57.80%
2070012,Regional School District 07,ELA,Female,133,157,157,136,103,125,49.60%,42.00%,58.00%,50.70%,50.50%,48.00%,64.00%,56.50%,73.40%,65.10%,68.10%,66.10%
2070012,Regional School District 07,Math,Male,156,159,128,128,114,120,57.10%,43.40%,43.00%,39.80%,45.60%,57.50%,72.90%,60.20%,57.40%,57.20%,60.50%,75.80%
2070012,Regional School District 07,Math,Female,130,157,156,135,102,124,62.30%,47.80%,45.50%,40.00%,43.10%,65.30%,80.60%,65.00%,61.80%,53.40%,62.20%,82.50%
2080012,Regional School District 08,ELA,Male,267,250,244,255,190,186,31.80%,26.00%,39.80%,32.50%,34.70%,23.70%,48.50%,43.60%,54.10%,48.60%,52.40%,38.10%
2080012,Regional School District 08,ELA,Female,282,245,202,218,169,166,41.50%,31.40%,43.10%,41.30%,37.30%,27.70%,58.80%,45.70%,57.70%,54.50%,52.20%,43.00%
2080012,Regional School District 08,Math,Male,268,250,244,255,188,186,44.80%,43.20%,36.90%,40.00%,37.80%,34.40%,60.50%,59.10%,51.50%,55.70%,50.70%,51.10%
2080012,Regional School District 08,Math,Female,281,243,201,218,168,166,40.20%,51.90%,37.80%,39.00%,38.70%,36.10%,58.50%,67.20%,50.90%,53.30%,49.80%,51.20%
2100012,Regional School District 10,ELA,Male,484,495,477,446,434,409,41.10%,46.30%,43.40%,36.50%,37.80%,48.90%,62.00%,64.80%,61.50%,54.70%,56.40%,68.40%
2100012,Regional School District 10,ELA,Female,427,436,429,395,371,362,45.00%,47.00%,51.50%,38.70%,35.60%,51.10%,64.50%,65.80%,70.40%,58.70%,52.50%,72.40%
2100012,Regional School District 10,Math,Male,484,494,476,445,434,409,38.60%,56.90%,42.00%,49.90%,43.50%,50.10%,59.60%,76.00%,61.00%,68.60%,61.40%,67.70%
2100012,Regional School District 10,Math,Female,427,434,428,395,370,360,43.10%,55.10%,42.80%,46.60%,40.00%,48.90%,61.40%,74.40%,64.10%,65.40%,59.00%,69.40%
2110012,Regional School District 11,ELA,Male,46,52,47,48,37,39,45.70%,23.10%,21.30%,18.80%,35.10%,35.90%,60.70%,32.70%,38.90%,35.30%,54.10%,59.00%
2110012,Regional School District 11,ELA,Female,36,37,37,35,33,50,50.00%,24.30%,45.90%,34.30%,33.30%,32.00%,71.30%,44.40%,61.30%,47.60%,46.40%,53.70%
2110012,Regional School District 11,Math,Male,45,51,47,48,38,39,33.30%,21.60%,23.40%,22.90%,52.60%,28.20%,57.50%,34.50%,31.70%,37.20%,68.30%,45.30%
2110012,Regional School District 11,Math,Female,35,37,37,35,33,49,65.70%,24.30%,21.60%,28.60%,33.30%,26.50%,79.60%,45.10%,43.50%,39.60%,46.50%,44.30%
2120012,Regional School District 12,ELA,Male,122,114,118,110,100,108,54.90%,43.00%,49.20%,39.10%,55.00%,43.50%,76.10%,62.60%,67.10%,60.40%,70.20%,53.60%
2120012,Regional School District 12,ELA,Female,133,125,107,111,113,112,54.10%,52.80%,38.30%,55.90%,47.80%,43.80%,75.80%,70.60%,58.10%,71.30%,64.00%,61.00%
2120012,Regional School District 12,Math,Male,121,113,117,110,100,108,57.00%,54.00%,51.30%,50.00%,48.00%,44.40%,79.20%,67.10%,65.60%,63.10%,67.00%,61.70%
2120012,Regional School District 12,Math,Female,133,125,106,110,113,111,67.70%,50.40%,50.90%,50.00%,45.10%,36.90%,86.90%,63.90%,70.90%,66.80%,64.10%,55.60%
2130012,Regional School District 13,ELA,Male,355,343,303,274,234,238,42.50%,34.10%,37.00%,47.80%,35.50%,38.70%,64.80%,55.70%,57.60%,65.10%,53.20%,56.40%
2130012,Regional School District 13,ELA,Female,315,329,331,320,243,260,52.70%,38.30%,50.20%,55.60%,40.70%,46.90%,74.40%,57.30%,68.20%,72.20%,60.50%,63.80%
2130012,Regional School District 13,Math,Male,354,343,303,273,233,236,45.50%,44.90%,42.90%,54.90%,39.10%,51.70%,66.70%,67.90%,63.70%,74.90%,60.60%,72.50%
2130012,Regional School District 13,Math,Female,315,329,330,320,243,257,48.90%,49.20%,49.70%,53.40%,37.90%,46.30%,72.60%,70.50%,70.40%,75.70%,60.30%,68.20%
2140012,Regional School District 14,ELA,Male,265,274,265,261,241,247,33.60%,36.50%,36.20%,35.20%,32.80%,42.10%,56.80%,55.50%,57.00%,54.00%,52.80%,63.40%
2140012,Regional School District 14,ELA,Female,278,278,273,270,224,219,44.20%,36.30%,42.50%,35.90%,48.20%,42.50%,63.60%,53.60%,60.80%,56.00%,65.80%,62.70%
2140012,Regional School District 14,Math,Male,264,273,265,261,241,247,34.10%,30.00%,43.40%,47.50%,56.80%,55.10%,53.20%,48.60%,65.70%,65.20%,76.00%,74.20%
2140012,Regional School District 14,Math,Female,278,278,273,270,219,216,32.70%,25.90%,44.00%,44.80%,61.20%,41.70%,56.70%,46.60%,63.70%,67.60%,81.60%,62.60%
2150012,Regional School District 15,ELA,Male,755,717,697,662,622,682,48.70%,40.00%,37.40%,45.90%,35.50%,35.50%,70.00%,57.30%,55.70%,63.90%,52.60%,53.30%
2150012,Regional School District 15,ELA,Female,714,693,658,638,594,604,54.20%,44.40%,41.60%,47.30%,35.70%,39.40%,72.30%,62.70%,59.00%,64.90%,55.20%,58.40%
2150012,Regional School District 15,Math,Male,753,718,696,662,614,673,49.00%,53.80%,38.60%,49.80%,50.80%,44.60%,69.90%,73.70%,58.10%,67.70%,70.90%,62.40%
2150012,Regional School District 15,Math,Female,717,692,655,638,588,600,54.40%,54.60%,44.10%,52.40%,43.00%,47.50%,74.90%,75.80%,62.30%,71.20%,64.30%,65.60%
2160012,Regional School District 16,ELA,Male,416,413,410,374,368,371,44.00%,32.70%,43.70%,43.90%,42.10%,34.20%,67.70%,51.60%,62.50%,62.60%,59.20%,51.40%
2160012,Regional School District 16,ELA,Female,382,400,418,412,345,348,43.50%,40.30%,53.60%,43.00%,35.90%,44.80%,63.90%,59.00%,72.60%,59.30%,57.10%,64.20%
2160012,Regional School District 16,Math,Male,409,411,408,374,364,369,42.30%,39.90%,38.50%,41.40%,51.90%,50.90%,65.00%,61.10%,58.50%,61.20%,73.00%,69.90%
2160012,Regional School District 16,Math,Female,369,396,418,412,344,348,39.80%,43.90%,46.70%,42.50%,49.70%,48.60%,61.00%,65.10%,66.60%,64.00%,70.60%,69.80%
2170012,Regional School District 17,ELA,Male,479,463,429,415,337,325,48.40%,40.20%,43.40%,39.30%,42.10%,41.50%,67.30%,56.70%,63.30%,58.10%,60.40%,59.10%
2170012,Regional School District 17,ELA,Female,408,398,377,361,281,305,54.70%,44.00%,53.10%,51.80%,44.50%,42.30%,72.60%,61.60%,72.40%,65.90%,65.10%,62.00%
2170012,Regional School District 17,Math,Male,477,459,428,413,336,325,51.80%,42.50%,40.00%,38.30%,44.30%,41.80%,71.80%,61.80%,59.20%,56.70%,62.90%,59.60%
2170012,Regional School District 17,Math,Female,406,395,374,360,281,304,56.70%,45.30%,40.10%,44.20%,41.60%,38.80%,78.40%,66.60%,60.50%,63.80%,65.50%,58.10%
2180012,Regional School District 18,ELA,Male,253,221,220,206,214,218,49.40%,42.10%,41.80%,46.60%,41.60%,43.10%,68.90%,57.00%,59.90%,63.40%,55.90%,59.80%
2180012,Regional School District 18,ELA,Female,251,233,215,209,193,194,54.20%,49.40%,51.20%,55.00%,46.60%,50.50%,69.80%,63.90%,66.40%,71.30%,63.50%,67.20%
2180012,Regional School District 18,Math,Male,252,219,218,205,214,218,59.10%,58.40%,59.60%,51.70%,56.50%,52.30%,77.70%,73.90%,72.10%,71.10%,72.40%,69.10%
2180012,Regional School District 18,Math,Female,251,233,213,208,193,194,57.00%,57.10%,54.90%,57.70%,49.70%,52.10%,73.00%,76.90%,71.60%,74.90%,66.90%,69.60%
1180011,Ridgefield School District,ELA,Male,947,922,890,903,786,809,50.30%,42.10%,45.70%,48.00%,46.20%,48.70%,67.90%,57.00%,61.60%,65.80%,63.90%,65.60%
1180011,Ridgefield School District,ELA,Female,906,905,848,836,734,774,53.40%,44.80%,54.00%,56.10%,53.70%,54.40%,68.80%,58.60%,67.80%,72.60%,68.20%,70.80%
1180011,Ridgefield School District,Math,Male,949,920,889,899,774,794,54.90%,51.50%,48.50%,62.00%,54.70%,58.70%,73.40%,69.50%,65.70%,78.20%,72.10%,74.70%
1180011,Ridgefield School District,Math,Female,903,899,845,834,708,753,53.50%,48.10%,51.80%,59.00%,51.60%,52.60%,75.00%,67.10%,70.50%,77.80%,69.60%,72.90%
1190011,Rocky Hill School District,ELA,Male,444,456,467,469,423,443,39.90%,43.40%,51.80%,49.00%,56.50%,45.10%,58.90%,62.80%,71.50%,68.50%,74.60%,62.20%
1190011,Rocky Hill School District,ELA,Female,442,436,439,491,453,464,48.40%,49.80%,56.70%,56.60%,62.00%,50.40%,66.30%,67.40%,76.80%,73.90%,79.60%,67.40%
1190011,Rocky Hill School District,Math,Male,448,456,467,468,414,443,48.40%,45.60%,51.60%,56.40%,62.60%,53.30%,67.40%,62.50%,71.00%,73.70%,80.70%,72.50%
1190011,Rocky Hill School District,Math,Female,442,435,439,490,441,463,49.80%,49.00%,54.90%,54.10%,61.50%,54.90%,71.00%,69.60%,76.20%,74.00%,79.60%,72.60%
1210011,Salem School District,ELA,Male,98,101,93,109,97,93,56.10%,40.60%,40.90%,49.50%,38.10%,36.60%,79.60%,59.40%,59.70%,66.80%,53.40%,52.60%
1210011,Salem School District,ELA,Female,97,107,109,111,91,109,60.80%,44.90%,49.50%,53.20%,37.40%,26.60%,77.80%,59.90%,64.50%,67.70%,53.80%,46.70%
1210011,Salem School District,Math,Male,98,101,93,108,97,93,49.00%,44.60%,36.60%,49.10%,44.30%,39.80%,68.90%,61.50%,52.70%,64.60%,66.60%,57.30%
1210011,Salem School District,Math,Female,97,107,109,111,91,109,51.50%,54.20%,45.00%,61.30%,48.40%,33.90%,68.20%,67.30%,58.10%,82.50%,61.90%,49.00%
1220011,Salisbury School District,ELA,Male,58,58,59,61,72,79,43.10%,31.00%,54.20%,49.20%,36.10%,35.40%,58.80%,55.90%,71.70%,69.00%,61.70%,56.30%
1220011,Salisbury School District,ELA,Female,67,70,72,69,68,62,50.70%,42.90%,63.90%,56.50%,55.90%,48.40%,65.50%,59.20%,78.60%,72.70%,74.10%,62.10%
1220011,Salisbury School District,Math,Male,58,58,59,61,72,79,53.40%,36.20%,49.20%,39.30%,45.80%,43.00%,69.40%,55.20%,65.00%,59.50%,65.50%,63.50%
1220011,Salisbury School District,Math,Female,67,70,72,69,68,62,58.20%,41.40%,48.60%,47.80%,44.10%,56.50%,81.70%,59.90%,68.50%,66.90%,62.50%,78.30%
1230011,Scotland School District,ELA,Male,21,16,16,10,18,14,52.40%,*,*,*,*,*,71.80%,*,*,*,*,*
1230011,Scotland School District,ELA,Female,23,25,25,23,14,15,69.60%,64.00%,44.00%,56.50%,*,*,84.30%,76.40%,65.90%,69.00%,*,*
1230011,Scotland School District,Math,Male,21,16,16,10,18,14,42.90%,*,*,*,*,*,70.10%,*,*,*,*,*
1230011,Scotland School District,Math,Female,23,25,26,23,14,15,26.10%,88.00%,38.50%,65.20%,*,*,56.20%,100.00%,51.70%,91.10%,*,*
1240011,Seymour School District,ELA,Male,426,428,414,422,370,370,35.00%,32.50%,30.40%,36.50%,37.80%,39.70%,55.00%,52.50%,52.00%,55.60%,58.40%,61.30%
1240011,Seymour School District,ELA,Female,430,418,417,422,369,366,40.70%,35.40%,36.90%,34.40%,36.90%,37.20%,59.80%,56.70%,57.70%,54.60%,59.60%,56.00%
1240011,Seymour School District,Math,Male,425,427,413,422,365,370,48.90%,37.70%,44.10%,44.80%,50.10%,55.10%,68.80%,58.70%,64.00%,62.30%,72.50%,74.30%
1240011,Seymour School District,Math,Female,430,418,417,421,370,365,48.40%,37.80%,46.00%,43.00%,50.50%,46.00%,71.80%,57.70%,67.40%,63.50%,71.60%,66.70%
1250011,Sharon School District,ELA,Male,30,36,36,28,27,30,43.30%,27.80%,27.80%,50.00%,44.40%,40.00%,57.60%,46.60%,60.30%,74.50%,59.80%,57.70%
1250011,Sharon School District,ELA,Female,38,46,37,35,16,18,44.70%,34.80%,21.60%,62.90%,*,*,72.70%,58.20%,50.40%,82.60%,*,*
1250011,Sharon School District,Math,Male,30,35,35,27,27,30,66.70%,40.00%,31.40%,55.60%,55.60%,53.30%,86.20%,59.40%,55.90%,74.20%,77.50%,81.40%
1250011,Sharon School District,Math,Female,38,46,36,35,16,18,36.80%,50.00%,52.80%,51.40%,*,*,51.70%,67.30%,70.70%,76.10%,*,*
1260011,Shelton School District,ELA,Male,932,911,873,917,809,879,46.20%,34.80%,43.00%,45.30%,37.70%,34.20%,66.60%,53.20%,61.80%,63.30%,57.50%,52.70%
1260011,Shelton School District,ELA,Female,906,853,841,831,743,828,54.40%,42.40%,45.80%,44.60%,43.60%,37.40%,71.90%,60.70%,64.80%,62.90%,61.30%,54.70%
1260011,Shelton School District,Math,Male,934,909,872,915,806,873,48.40%,45.30%,47.40%,48.20%,57.80%,43.40%,69.00%,67.70%,67.60%,67.60%,77.20%,62.60%
1260011,Shelton School District,Math,Female,906,852,839,830,742,828,50.40%,49.30%,52.90%,47.10%,55.90%,46.40%,72.00%,68.30%,71.80%,68.00%,76.90%,67.10%
1270011,Sherman School District,ELA,Male,58,74,74,78,67,67,46.60%,28.40%,45.90%,47.40%,38.80%,46.30%,73.90%,41.90%,60.40%,60.80%,57.00%,65.10%
1270011,Sherman School District,ELA,Female,41,61,72,64,68,69,48.80%,39.30%,44.40%,32.80%,47.10%,47.80%,65.10%,60.50%,59.60%,59.00%,62.70%,68.20%
1270011,Sherman School District,Math,Male,59,73,72,77,65,66,54.20%,32.90%,37.50%,50.60%,44.60%,47.00%,81.00%,53.60%,49.60%,66.30%,59.50%,67.50%
1270011,Sherman School District,Math,Female,41,61,71,64,66,68,51.20%,54.10%,31.00%,48.40%,28.80%,51.50%,76.20%,68.10%,49.40%,69.60%,50.90%,73.00%
2700013,Side By Side Charter School District,ELA,Male,51,51,51,55,49,50,45.10%,47.10%,39.20%,30.90%,32.70%,38.00%,65.50%,61.80%,56.50%,55.40%,59.90%,62.90%
2700013,Side By Side Charter School District,ELA,Female,57,54,50,53,58,57,35.10%,25.90%,42.00%,49.10%,43.10%,40.40%,55.70%,54.20%,68.90%,73.20%,71.10%,62.20%
2700013,Side By Side Charter School District,Math,Male,51,51,51,55,49,50,54.90%,56.90%,47.10%,56.40%,63.30%,46.00%,77.00%,77.50%,65.90%,80.10%,86.40%,63.10%
2700013,Side By Side Charter School District,Math,Female,56,53,50,53,58,57,55.40%,54.70%,52.00%,47.20%,48.30%,59.60%,73.80%,76.30%,72.20%,72.30%,71.00%,88.20%
1280011,Simsbury School District,ELA,Male,818,776,735,710,702,743,51.80%,45.20%,55.40%,48.20%,39.90%,48.00%,71.60%,61.60%,70.60%,66.20%,56.50%,65.80%
1280011,Simsbury School District,ELA,Female,736,732,725,720,702,703,60.60%,51.40%,58.80%,56.80%,51.40%,47.80%,76.70%,67.80%,75.00%,72.80%,67.40%,62.90%
1280011,Simsbury School District,Math,Male,812,770,729,710,699,741,52.60%,56.80%,51.70%,54.40%,56.90%,57.40%,72.00%,74.80%,68.70%,71.70%,72.20%,73.30%
1280011,Simsbury School District,Math,Female,732,729,721,718,700,700,54.80%,54.00%,47.90%,53.90%,54.70%,55.10%,75.90%,75.10%,65.80%,72.30%,73.90%,72.00%
