"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0300011,Columbia School District,Math,Male,112,102,106,103,110,122,35.70%,36.30%,25.50%,33.00%,55.50%,42.60%,61.50%,60.20%,47.40%,52.70%,76.20%,62.60%
0300011,Columbia School District,Math,Female,115,112,108,95,99,106,39.10%,45.50%,43.50%,29.50%,57.60%,34.00%,60.20%,69.10%,65.40%,55.20%,81.50%,54.60%
2430014,Cooperative Educational Services,ELA,Male,156,147,150,144,125,120,32.70%,23.10%,32.70%,36.10%,37.60%,25.80%,58.40%,40.50%,53.90%,55.80%,66.90%,50.20%
2430014,Cooperative Educational Services,ELA,Female,111,108,109,99,97,107,40.50%,32.40%,48.60%,40.40%,35.10%,30.80%,59.40%,53.50%,72.60%,66.60%,58.30%,54.60%
2430014,Cooperative Educational Services,Math,Male,156,146,150,145,123,119,38.50%,39.00%,36.00%,35.90%,45.50%,31.10%,58.00%,56.80%,54.00%,57.80%,64.00%,53.10%
2430014,Cooperative Educational Services,Math,Female,112,109,109,99,97,107,36.60%,27.50%,51.40%,44.40%,45.40%,38.30%,57.90%,51.40%,72.80%,66.20%,65.20%,59.90%
0310011,Cornwall School District,ELA,Male,29,25,27,24,32,17,37.90%,48.00%,44.40%,50.00%,59.40%,*,59.50%,65.00%,69.80%,65.50%,82.10%,*
0310011,Cornwall School District,ELA,Female,16,14,11,18,23,25,*,*,*,*,43.50%,44.00%,*,*,*,*,66.90%,68.10%
0310011,Cornwall School District,Math,Male,29,25,27,24,32,17,48.30%,52.00%,44.40%,66.70%,68.80%,*,64.90%,65.40%,58.80%,77.90%,81.20%,*
0310011,Cornwall School District,Math,Female,16,14,11,18,23,25,*,*,*,*,47.80%,48.00%,*,*,*,*,71.90%,67.70%
