"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2950013,Booker T. Washington Academy District,7,Math,*,*,*,*,32,36,*,*,*,*,37.50%,36.10%,*,*,*,*,60.50%,56.60%
2950013,Booker T. Washington Academy District,8,ELA,*,*,*,*,25,30,*,*,*,*,20.00%,33.30%,*,*,*,*,35.40%,52.00%
2950013,Booker T. Washington Academy District,8,Math,*,*,*,*,25,30,*,*,*,*,64.00%,66.70%,*,*,*,*,88.70%,90.10%
0130011,Bozrah School District,4,ELA,21,25,17,20,14,13,28.60%,40.00%,*,15.00%,*,*,53.20%,73.40%,*,29.40%,*,*
0130011,Bozrah School District,4,Math,21,25,17,20,14,13,9.50%,36.00%,*,35.00%,*,*,48.60%,62.20%,*,65.20%,*,*
0130011,Bozrah School District,5,ELA,29,21,25,17,16,16,37.90%,23.80%,48.00%,*,*,*,69.30%,58.70%,66.60%,*,*,*
0130011,Bozrah School District,5,Math,29,21,25,17,16,16,48.30%,19.00%,28.00%,*,*,*,72.60%,45.10%,47.30%,*,*,*
0130011,Bozrah School District,6,ELA,21,26,22,24,16,17,47.60%,38.50%,31.80%,41.70%,*,*,58.00%,56.40%,62.50%,58.90%,*,*
0130011,Bozrah School District,6,Math,21,26,22,24,16,17,42.90%,34.60%,45.50%,45.80%,*,*,66.20%,57.40%,64.10%,72.10%,*,*
0130011,Bozrah School District,7,ELA,16,21,24,22,20,15,*,57.10%,50.00%,59.10%,20.00%,*,*,72.50%,68.10%,72.60%,28.60%,*
