"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2700013,Side By Side Charter School District,4,Math,23,21,17,24,23,23,4.30%,33.30%,*,54.20%,17.40%,43.50%,32.70%,62.50%,*,79.60%,61.90%,74.70%
2700013,Side By Side Charter School District,5,ELA,22,24,22,20,24,23,45.50%,41.70%,40.90%,20.00%,45.80%,26.10%,73.20%,81.20%,56.30%,54.90%,82.30%,54.50%
2700013,Side By Side Charter School District,5,Math,22,23,22,20,24,23,86.40%,82.60%,54.50%,60.00%,83.30%,65.20%,100.00%,99.40%,76.50%,82.90%,95.30%,90.60%
2700013,Side By Side Charter School District,6,ELA,20,22,20,21,21,22,60.00%,22.70%,40.00%,38.10%,47.60%,40.90%,77.50%,33.60%,63.40%,66.30%,70.60%,63.60%
2700013,Side By Side Charter School District,6,Math,20,22,20,21,21,22,65.00%,27.30%,35.00%,33.30%,52.40%,54.50%,84.10%,47.10%,54.70%,71.90%,75.20%,75.50%
2700013,Side By Side Charter School District,7,ELA,21,20,22,20,21,18,42.90%,35.00%,40.90%,60.00%,23.80%,*,58.10%,44.40%,61.70%,83.80%,51.90%,*
2700013,Side By Side Charter School District,7,Math,21,20,22,20,21,18,61.90%,70.00%,68.20%,55.00%,57.10%,*,83.30%,83.80%,85.10%,78.10%,71.60%,*
2700013,Side By Side Charter School District,8,ELA,21,18,20,23,18,21,42.90%,*,15.00%,39.10%,*,38.10%,60.10%,*,46.80%,56.10%,*,68.50%
2700013,Side By Side Charter School District,8,Math,21,18,20,23,18,21,61.90%,*,45.00%,56.50%,*,42.90%,77.60%,*,56.40%,69.20%,*,60.50%
1280011,Simsbury School District,4,ELA,281,293,259,278,289,277,59.80%,54.30%,64.90%,57.60%,54.30%,57.80%,79.00%,73.40%,82.40%,82.20%,72.80%,81.40%
1280011,Simsbury School District,4,Math,278,293,259,278,288,276,39.90%,48.80%,36.30%,49.60%,61.80%,60.50%,69.40%,76.10%,60.20%,77.50%,85.10%,86.20%
1280011,Simsbury School District,5,ELA,282,291,306,274,296,294,52.10%,48.80%,65.00%,57.70%,48.60%,57.10%,72.80%,68.50%,82.60%,75.20%,66.60%,72.30%
1280011,Simsbury School District,5,Math,281,291,303,274,296,293,58.70%,60.50%,52.80%,66.40%,64.90%,64.20%,80.20%,81.90%,74.40%,86.00%,83.30%,80.00%
1280011,Simsbury School District,6,ELA,322,278,284,300,250,308,57.80%,55.00%,58.50%,50.30%,49.20%,51.90%,75.30%,69.90%,73.00%,63.20%,65.40%,68.50%
1280011,Simsbury School District,6,Math,321,278,284,299,248,308,48.60%,67.30%,64.10%,58.20%,66.50%,59.40%,67.20%,86.40%,81.40%,76.10%,82.60%,74.40%
1280011,Simsbury School District,7,ELA,322,324,281,290,300,265,49.70%,42.60%,46.60%,46.90%,37.70%,32.80%,66.20%,60.60%,61.40%,63.40%,53.90%,46.70%
1280011,Simsbury School District,7,Math,318,318,279,290,299,263,51.30%,50.30%,39.80%,41.40%,40.50%,43.30%,69.70%,65.90%,51.30%,53.30%,54.40%,54.30%
1280011,Simsbury School District,8,ELA,347,322,330,288,270,302,60.20%,41.90%,51.20%,50.70%,38.50%,39.10%,77.00%,52.70%,65.60%,64.70%,51.40%,52.40%
1280011,Simsbury School District,8,Math,346,319,325,287,268,301,67.30%,51.70%,53.80%,55.40%,46.60%,52.80%,82.20%,66.70%,67.60%,68.10%,60.80%,67.40%
1290011,Somers School District,4,ELA,113,94,81,98,94,97,47.80%,25.50%,34.60%,43.90%,28.70%,42.30%,72.10%,47.80%,58.10%,69.90%,56.50%,69.50%
1290011,Somers School District,4,Math,112,93,79,98,94,97,34.80%,19.40%,39.20%,52.00%,52.10%,53.60%,71.80%,58.10%,67.20%,84.40%,81.20%,79.80%
1290011,Somers School District,5,ELA,98,120,98,79,97,99,39.80%,30.00%,44.90%,50.60%,36.10%,49.50%,60.50%,49.40%,71.00%,72.50%,59.10%,76.60%
1290011,Somers School District,5,Math,98,119,98,77,97,99,50.00%,43.70%,48.00%,51.90%,34.00%,69.70%,76.30%,70.20%,76.20%,72.20%,57.50%,89.40%
1290011,Somers School District,6,ELA,111,102,123,95,79,101,55.00%,28.40%,33.30%,38.90%,46.80%,61.40%,70.90%,45.50%,54.00%,56.60%,65.30%,78.30%
1290011,Somers School District,6,Math,111,102,123,94,79,101,56.80%,37.30%,35.00%,42.60%,38.00%,45.50%,75.80%,49.00%,54.90%,67.30%,57.30%,65.00%
1290011,Somers School District,7,ELA,120,112,105,120,99,83,53.30%,32.10%,21.90%,26.70%,45.50%,47.00%,73.10%,47.50%,39.20%,41.60%,63.40%,65.80%
1290011,Somers School District,7,Math,120,111,105,119,98,83,48.30%,23.40%,22.90%,32.80%,50.00%,54.20%,68.20%,38.60%,42.90%,51.30%,68.90%,73.10%
1290011,Somers School District,8,ELA,94,128,117,94,66,101,35.10%,25.80%,29.90%,46.80%,40.90%,41.60%,53.20%,36.20%,41.20%,62.90%,55.20%,55.00%
1290011,Somers School District,8,Math,94,128,115,94,66,101,52.10%,46.10%,55.70%,59.60%,27.30%,43.60%,68.80%,62.10%,74.10%,78.80%,35.20%,61.10%
1320011,South Windsor School District,4,ELA,285,278,327,312,364,383,61.40%,51.40%,53.20%,56.40%,54.10%,56.40%,85.70%,71.00%,76.40%,74.20%,78.40%,74.50%
1320011,South Windsor School District,4,Math,283,278,327,312,362,380,53.70%,50.40%,45.30%,59.30%,58.00%,59.70%,84.30%,77.10%,73.50%,82.50%,78.60%,81.60%
1320011,South Windsor School District,5,ELA,303,292,284,333,348,370,52.50%,41.80%,48.60%,41.70%,58.00%,53.20%,72.80%,57.20%,69.10%,63.00%,78.60%,75.00%
1320011,South Windsor School District,5,Math,303,292,284,333,347,370,46.90%,47.90%,51.80%,55.00%,66.30%,63.00%,67.00%,68.80%,69.50%,74.00%,84.00%,85.10%
1320011,South Windsor School District,6,ELA,290,308,290,298,360,354,50.00%,34.40%,32.10%,33.90%,44.40%,35.30%,65.20%,49.90%,46.40%,48.90%,58.80%,46.80%
1320011,South Windsor School District,6,Math,289,307,290,298,361,351,47.10%,50.20%,41.00%,46.00%,46.30%,44.40%,66.90%,68.60%,58.40%,60.60%,63.50%,55.90%
1320011,South Windsor School District,7,ELA,303,296,324,299,347,361,44.90%,48.60%,48.80%,50.80%,50.40%,41.80%,61.10%,64.70%,65.10%,68.50%,68.60%,57.70%
1320011,South Windsor School District,7,Math,301,295,324,299,346,357,65.40%,61.70%,58.60%,51.20%,59.80%,53.20%,83.80%,77.60%,73.30%,68.80%,74.70%,70.20%
1320011,South Windsor School District,8,ELA,331,311,308,327,373,365,41.10%,35.70%,43.80%,36.70%,47.50%,34.50%,56.60%,48.60%,59.10%,53.00%,61.30%,46.10%
1320011,South Windsor School District,8,Math,331,309,308,326,372,362,60.70%,53.40%,58.10%,58.00%,42.50%,42.50%,75.50%,68.10%,68.30%,71.00%,54.60%,53.80%
1310011,Southington School District,4,ELA,462,466,461,477,410,423,39.20%,43.10%,41.40%,45.10%,45.40%,46.80%,60.50%,70.20%,64.60%,65.20%,69.70%,66.50%
1310011,Southington School District,4,Math,461,463,460,476,409,423,38.80%,51.40%,37.60%,49.60%,50.10%,56.70%,68.20%,79.30%,67.70%,76.00%,79.00%,83.00%
1310011,Southington School District,5,ELA,517,476,467,473,419,422,42.60%,42.90%,40.30%,42.10%,42.50%,35.80%,64.50%,64.60%,63.10%,66.00%,65.00%,58.40%
1310011,Southington School District,5,Math,518,475,466,473,418,422,40.30%,36.00%,29.20%,46.90%,46.40%,41.90%,63.50%,59.30%,48.60%,69.10%,69.10%,63.60%
1310011,Southington School District,6,ELA,476,528,471,455,423,426,38.90%,43.90%,39.10%,42.40%,42.60%,41.10%,57.90%,62.10%,58.30%,61.00%,61.00%,61.50%
1310011,Southington School District,6,Math,475,528,471,454,420,423,28.20%,39.80%,35.20%,43.80%,48.80%,42.10%,47.00%,60.60%,56.50%,68.10%,67.70%,62.80%
1310011,Southington School District,7,ELA,506,507,529,473,463,443,37.50%,35.70%,32.10%,34.70%,34.30%,33.00%,55.30%,53.60%,51.60%,53.90%,54.40%,52.00%
1310011,Southington School District,7,Math,505,507,528,474,460,442,40.80%,46.00%,38.10%,44.10%,55.70%,46.80%,60.70%,66.00%,56.20%,63.20%,77.80%,63.90%
1310011,Southington School District,8,ELA,543,517,506,528,468,498,39.80%,36.00%,39.90%,39.80%,29.10%,32.70%,59.80%,51.60%,58.10%,57.40%,44.00%,50.20%
1310011,Southington School District,8,Math,542,516,507,527,464,495,46.70%,47.90%,35.90%,44.40%,48.10%,42.40%,64.50%,62.50%,53.00%,58.30%,64.50%,58.10%
1330011,Sprague School District,4,ELA,26,34,29,32,30,22,26.90%,32.40%,44.80%,18.80%,33.30%,18.20%,55.70%,53.40%,71.80%,48.00%,55.60%,41.90%
1330011,Sprague School District,4,Math,26,34,29,32,30,22,23.10%,26.50%,31.00%,15.60%,50.00%,18.20%,56.80%,65.40%,61.50%,44.60%,75.10%,57.60%
1330011,Sprague School District,5,ELA,27,27,39,25,27,27,55.60%,37.00%,43.60%,28.00%,37.00%,7.40%,87.30%,55.70%,71.20%,46.70%,58.00%,32.20%
1330011,Sprague School District,5,Math,27,27,39,25,27,27,37.00%,37.00%,46.20%,12.00%,48.10%,11.10%,69.60%,52.50%,63.80%,37.40%,70.60%,35.30%
1330011,Sprague School District,6,ELA,35,31,25,33,21,30,42.90%,25.80%,40.00%,18.20%,38.10%,20.00%,53.50%,39.50%,65.80%,35.20%,58.90%,38.20%
1330011,Sprague School District,6,Math,35,31,25,33,20,30,45.70%,38.70%,32.00%,12.10%,60.00%,30.00%,66.00%,62.10%,59.50%,25.50%,76.70%,47.10%
1330011,Sprague School District,7,ELA,35,32,28,26,29,20,42.90%,28.10%,35.70%,23.10%,13.80%,20.00%,63.40%,43.30%,55.40%,33.70%,41.10%,34.60%
1330011,Sprague School District,7,Math,36,32,28,26,29,19,33.30%,28.10%,42.90%,7.70%,69.00%,*,56.00%,46.80%,59.90%,21.20%,85.50%,*
1330011,Sprague School District,8,ELA,41,33,28,25,25,30,43.90%,30.30%,17.90%,28.00%,20.00%,43.30%,54.70%,46.60%,25.50%,46.10%,39.80%,54.10%
1330011,Sprague School District,8,Math,41,33,28,25,25,30,36.60%,12.10%,14.30%,4.00%,48.00%,20.00%,53.00%,23.30%,26.20%,14.20%,70.10%,41.10%
1340011,Stafford School District,4,ELA,127,95,117,120,87,91,33.10%,28.40%,24.80%,28.30%,27.60%,27.50%,59.50%,48.90%,40.90%,47.70%,48.00%,58.40%
1340011,Stafford School District,4,Math,127,95,117,120,87,91,28.30%,23.20%,30.80%,34.20%,18.40%,39.60%,67.20%,51.00%,61.70%,63.90%,46.20%,70.00%
1340011,Stafford School District,5,ELA,104,130,91,121,86,91,40.40%,33.80%,36.30%,47.10%,51.20%,49.50%,66.60%,59.00%,65.30%,73.10%,72.00%,71.80%
1340011,Stafford School District,5,Math,104,130,91,120,85,90,44.20%,16.20%,19.80%,43.30%,57.60%,56.70%,70.20%,35.90%,42.20%,67.10%,78.20%,82.10%
1340011,Stafford School District,6,ELA,91,103,128,91,96,92,48.40%,28.20%,37.50%,27.50%,46.90%,27.20%,71.20%,44.00%,58.50%,44.60%,64.50%,45.00%
1340011,Stafford School District,6,Math,91,103,126,91,96,90,29.70%,14.60%,40.50%,40.70%,44.80%,27.80%,49.30%,31.00%,64.00%,66.00%,63.20%,43.90%
1340011,Stafford School District,7,ELA,106,89,102,124,112,102,60.40%,39.30%,46.10%,39.50%,41.10%,29.40%,74.80%,60.40%,66.30%,61.30%,63.20%,45.20%
1340011,Stafford School District,7,Math,107,88,103,124,110,101,50.50%,36.40%,44.70%,50.80%,50.90%,25.70%,73.30%,55.70%,64.20%,65.90%,71.20%,47.60%
1340011,Stafford School District,8,ELA,107,108,90,103,108,119,44.90%,31.50%,33.30%,23.30%,33.30%,22.70%,61.20%,44.30%,48.70%,35.20%,53.80%,37.40%
1340011,Stafford School District,8,Math,107,108,90,104,106,120,43.90%,35.20%,36.70%,44.20%,51.90%,31.70%,61.20%,48.70%,59.90%,58.30%,71.50%,50.20%
2960013,Stamford Charter School for Excellence District,4,ELA,*,*,*,49,53,46,*,*,*,65.30%,94.30%,89.10%,*,*,*,89.80%,100.00%,100.00%
2960013,Stamford Charter School for Excellence District,4,Math,*,*,*,49,53,46,*,*,*,49.00%,83.00%,78.30%,*,*,*,74.10%,97.30%,95.90%
2960013,Stamford Charter School for Excellence District,5,ELA,*,*,*,*,56,49,*,*,*,*,58.90%,46.90%,*,*,*,*,78.70%,58.00%
2960013,Stamford Charter School for Excellence District,5,Math,*,*,*,*,56,49,*,*,*,*,73.20%,67.30%,*,*,*,*,86.90%,88.60%
2960013,Stamford Charter School for Excellence District,6,ELA,*,*,*,*,46,51,*,*,*,*,47.80%,27.50%,*,*,*,*,62.70%,44.90%
2960013,Stamford Charter School for Excellence District,6,Math,*,*,*,*,46,51,*,*,*,*,65.20%,52.90%,*,*,*,*,80.00%,64.80%
2960013,Stamford Charter School for Excellence District,7,ELA,*,*,*,*,43,45,*,*,*,*,48.80%,35.60%,*,*,*,*,65.00%,50.60%
2960013,Stamford Charter School for Excellence District,7,Math,*,*,*,*,43,45,*,*,*,*,76.70%,57.80%,*,*,*,*,92.70%,70.20%
2960013,Stamford Charter School for Excellence District,8,ELA,*,*,*,*,*,35,*,*,*,*,*,22.90%,*,*,*,*,*,33.10%
2960013,Stamford Charter School for Excellence District,8,Math,*,*,*,*,*,35,*,*,*,*,*,25.70%,*,*,*,*,*,31.30%
1350011,Stamford School District,4,ELA,1164,1227,1142,1143,1034,1102,42.30%,36.00%,37.10%,39.50%,39.70%,36.00%,68.60%,59.80%,62.90%,63.10%,65.00%,61.80%
1350011,Stamford School District,4,Math,1176,1226,1142,1140,1030,1101,42.10%,48.00%,41.30%,43.60%,50.60%,46.30%,73.50%,76.10%,69.20%,73.10%,78.80%,73.50%
1350011,Stamford School District,5,ELA,1069,1166,1231,1129,1080,1077,47.30%,39.30%,45.70%,39.40%,38.70%,36.50%,72.10%,63.30%,70.80%,63.70%,63.80%,59.60%
1350011,Stamford School District,5,Math,1081,1165,1227,1128,1078,1075,42.00%,52.40%,45.70%,45.30%,49.50%,42.20%,65.30%,73.50%,67.00%,65.80%,68.90%,63.50%
1350011,Stamford School District,6,ELA,995,1006,1086,1140,1064,1088,37.30%,31.50%,32.20%,33.10%,32.30%,23.90%,55.90%,51.50%,52.60%,50.10%,50.20%,41.70%
1350011,Stamford School District,6,Math,1009,1002,1083,1137,1054,1082,30.50%,41.20%,26.10%,27.90%,22.70%,22.20%,49.40%,61.40%,42.60%,44.80%,35.60%,35.10%
1350011,Stamford School District,7,ELA,988,1042,1026,1100,1034,1102,41.90%,36.00%,34.20%,36.00%,34.50%,33.30%,59.90%,54.50%,55.90%,56.30%,52.90%,51.30%
1350011,Stamford School District,7,Math,1005,1036,1021,1095,1021,1092,45.30%,41.60%,38.00%,40.70%,41.70%,42.30%,64.10%,60.60%,55.00%,59.00%,60.10%,60.30%
1350011,Stamford School District,8,ELA,1022,1012,1052,1022,1059,1128,39.00%,40.40%,36.90%,34.60%,34.50%,31.40%,57.30%,56.20%,54.60%,51.30%,51.20%,48.70%
1350011,Stamford School District,8,Math,1040,1011,1046,1023,1035,1118,38.50%,37.20%,39.30%,36.60%,32.20%,33.30%,53.50%,52.90%,55.50%,52.50%,47.60%,49.20%
1360011,Sterling School District,4,ELA,33,30,36,30,20,23,51.50%,26.70%,27.80%,23.30%,25.00%,43.50%,79.40%,46.40%,53.90%,55.20%,52.10%,59.30%
1360011,Sterling School District,4,Math,33,30,36,30,20,23,42.40%,16.70%,27.80%,43.30%,25.00%,52.20%,79.20%,48.60%,62.00%,66.90%,57.90%,80.00%
1360011,Sterling School District,5,ELA,45,31,35,36,35,21,42.20%,32.30%,25.70%,13.90%,34.30%,42.90%,66.20%,44.60%,48.40%,36.20%,61.20%,68.80%
1360011,Sterling School District,5,Math,45,31,34,36,35,21,64.40%,19.40%,20.60%,19.40%,37.10%,47.60%,84.30%,32.70%,49.50%,51.40%,63.20%,72.30%
1360011,Sterling School District,6,ELA,40,47,31,37,37,31,40.00%,21.30%,51.60%,37.80%,32.40%,29.00%,63.30%,38.90%,78.70%,51.90%,53.60%,52.60%
1360011,Sterling School District,6,Math,40,47,31,37,37,31,50.00%,17.00%,51.60%,40.50%,21.60%,9.70%,73.70%,35.90%,72.10%,54.60%,49.60%,22.50%
1360011,Sterling School District,7,ELA,59,36,46,37,34,39,49.20%,30.60%,63.00%,35.10%,20.60%,38.50%,69.60%,44.00%,78.70%,47.30%,46.80%,63.70%
1360011,Sterling School District,7,Math,58,36,46,37,34,39,51.70%,30.60%,63.00%,29.70%,35.30%,10.30%,67.70%,41.60%,85.20%,48.00%,52.10%,24.80%
1360011,Sterling School District,8,ELA,50,59,40,47,40,32,26.00%,22.00%,37.50%,25.50%,20.00%,28.10%,47.80%,37.80%,52.80%,34.70%,38.70%,40.10%
1360011,Sterling School District,8,Math,50,59,39,46,39,32,20.00%,25.40%,43.60%,15.20%,25.60%,21.90%,35.00%,36.50%,67.10%,25.50%,34.40%,34.50%
1370011,Stonington School District,4,ELA,149,155,133,129,136,122,51.70%,51.00%,52.60%,48.80%,46.30%,46.70%,71.80%,72.70%,71.60%,69.50%,69.70%,66.40%
1370011,Stonington School District,4,Math,149,155,133,129,136,122,54.40%,63.90%,57.90%,65.10%,69.10%,52.50%,83.30%,86.20%,83.10%,87.80%,90.40%,79.20%
1370011,Stonington School District,5,ELA,143,153,167,137,115,133,46.20%,35.90%,42.50%,48.20%,59.10%,64.70%,64.00%,50.50%,60.30%,69.00%,79.90%,85.50%
1370011,Stonington School District,5,Math,143,152,167,137,114,133,42.00%,32.90%,37.70%,47.40%,75.40%,65.40%,65.80%,49.40%,52.90%,64.20%,95.50%,82.30%
1370011,Stonington School District,6,ELA,146,149,154,165,122,111,36.30%,40.90%,42.90%,45.50%,32.80%,23.40%,50.60%,57.50%,60.80%,63.40%,47.30%,37.70%
1370011,Stonington School District,6,Math,146,149,153,165,121,111,39.70%,26.20%,28.10%,43.60%,38.80%,31.50%,61.90%,47.30%,40.60%,60.00%,53.50%,43.90%
1370011,Stonington School District,7,ELA,161,147,151,146,123,117,39.80%,44.20%,35.80%,53.40%,45.50%,41.00%,52.90%,60.50%,53.40%,71.00%,62.00%,57.00%
1370011,Stonington School District,7,Math,161,147,150,146,123,115,62.10%,61.20%,52.00%,61.00%,65.00%,51.30%,82.30%,79.80%,70.00%,79.70%,81.80%,67.90%
1370011,Stonington School District,8,ELA,157,168,143,149,125,120,52.20%,36.30%,35.70%,48.30%,32.80%,20.80%,68.20%,54.10%,48.70%,63.90%,45.50%,34.60%
1370011,Stonington School District,8,Math,157,168,143,148,123,120,39.50%,27.40%,16.80%,41.90%,31.70%,30.80%,52.30%,39.30%,28.00%,59.90%,43.10%,43.50%
1380011,Stratford School District,4,ELA,515,494,476,443,416,446,56.10%,42.70%,40.80%,37.50%,43.00%,39.20%,81.00%,68.40%,67.70%,64.40%,66.30%,66.50%
1380011,Stratford School District,4,Math,515,494,475,443,413,443,58.80%,38.90%,45.30%,42.90%,46.70%,32.70%,88.30%,69.30%,76.30%,72.50%,76.30%,61.60%
1380011,Stratford School District,5,ELA,479,514,499,489,440,448,33.80%,33.70%,33.70%,36.00%,42.50%,31.70%,60.10%,58.30%,59.90%,61.40%,66.70%,55.20%
1380011,Stratford School District,5,Math,481,514,499,489,440,447,50.70%,30.20%,32.90%,36.40%,54.30%,40.50%,71.50%,51.70%,54.70%,60.60%,76.80%,62.30%
1380011,Stratford School District,6,ELA,500,500,520,506,439,475,49.40%,35.00%,41.70%,34.00%,44.00%,41.50%,69.00%,54.80%,61.00%,53.80%,66.50%,61.00%
1380011,Stratford School District,6,Math,499,499,518,506,432,473,54.50%,38.50%,41.50%,47.60%,50.50%,35.30%,75.30%,57.40%,61.60%,68.90%,71.70%,54.10%
1380011,Stratford School District,7,ELA,540,512,507,518,446,469,30.00%,29.10%,30.20%,34.70%,32.30%,24.50%,49.10%,45.60%,49.10%,54.10%,49.70%,43.00%
1380011,Stratford School District,7,Math,541,512,507,516,439,466,29.90%,20.50%,23.90%,24.40%,31.90%,21.70%,47.70%,35.20%,39.80%,39.70%,47.10%,37.50%
1380011,Stratford School District,8,ELA,508,555,528,525,467,494,27.40%,29.00%,28.00%,34.10%,31.50%,27.70%,43.90%,46.10%,43.10%,51.90%,45.10%,45.00%
1380011,Stratford School District,8,Math,504,555,526,525,443,472,31.50%,36.60%,31.90%,37.70%,23.90%,29.40%,45.30%,53.10%,48.80%,53.80%,38.50%,45.10%
1390011,Suffield School District,4,ELA,160,148,132,138,121,136,48.10%,35.10%,50.80%,36.20%,44.60%,25.00%,68.50%,53.00%,75.40%,62.10%,74.30%,50.50%
1390011,Suffield School District,4,Math,161,147,131,139,121,136,31.10%,42.90%,52.70%,33.80%,58.70%,20.60%,65.10%,74.10%,78.20%,60.50%,83.70%,49.30%
1390011,Suffield School District,5,ELA,134,156,149,126,123,128,56.00%,40.40%,47.70%,48.40%,43.10%,53.10%,75.00%,63.00%,73.30%,67.70%,69.70%,69.60%
1390011,Suffield School District,5,Math,134,155,146,126,125,127,33.60%,34.20%,52.70%,57.90%,64.00%,52.80%,53.90%,56.10%,75.70%,80.00%,85.10%,71.80%
1390011,Suffield School District,6,ELA,179,134,157,151,128,140,46.90%,39.60%,43.90%,49.70%,45.30%,50.00%,65.80%,60.60%,60.20%,69.80%,66.20%,67.30%
1390011,Suffield School District,6,Math,178,133,155,149,128,142,66.90%,71.40%,58.70%,65.80%,65.60%,55.60%,85.90%,90.10%,79.20%,84.60%,86.80%,76.00%
1390011,Suffield School District,7,ELA,170,183,142,155,134,139,38.80%,37.70%,43.00%,56.80%,44.00%,28.80%,57.40%,52.40%,62.30%,74.80%,55.80%,44.30%
1390011,Suffield School District,7,Math,170,182,141,154,131,139,47.10%,24.20%,34.00%,53.90%,54.20%,38.80%,68.30%,41.00%,51.80%,69.80%,73.30%,56.00%
1390011,Suffield School District,8,ELA,171,173,187,142,139,142,30.40%,26.00%,32.60%,40.10%,36.70%,30.30%,43.10%,39.10%,44.90%,53.50%,50.30%,43.10%
1390011,Suffield School District,8,Math,170,171,186,144,139,142,30.00%,37.40%,39.20%,56.30%,66.90%,59.20%,43.10%,57.70%,55.10%,74.90%,82.00%,75.30%
2690013,The Bridge Academy District,7,ELA,48,46,42,47,47,44,29.20%,32.60%,35.70%,40.40%,38.30%,27.30%,52.10%,56.90%,65.00%,58.00%,62.20%,54.40%
2690013,The Bridge Academy District,7,Math,48,46,41,47,46,44,54.20%,41.30%,24.40%,38.30%,58.70%,43.20%,73.60%,70.00%,42.20%,54.70%,73.60%,62.60%
2690013,The Bridge Academy District,8,ELA,49,43,44,43,50,49,22.40%,23.30%,38.60%,32.60%,28.00%,30.60%,38.00%,35.20%,54.70%,45.20%,49.10%,53.10%
2690013,The Bridge Academy District,8,Math,49,42,44,42,50,49,44.90%,38.10%,38.60%,40.50%,32.00%,24.50%,67.10%,55.50%,59.80%,54.20%,44.30%,37.50%
9020022,The Gilbert School District,7,ELA,75,71,75,62,65,58,28.00%,33.80%,21.30%,50.00%,21.50%,32.80%,45.30%,53.70%,40.60%,69.30%,37.70%,52.30%
9020022,The Gilbert School District,7,Math,76,70,75,62,66,58,34.20%,14.30%,30.70%,48.40%,24.20%,15.50%,51.80%,29.10%,51.30%,68.10%,38.10%,24.20%
9020022,The Gilbert School District,8,ELA,82,79,77,79,76,67,26.80%,26.60%,31.20%,44.30%,36.80%,16.40%,42.30%,42.20%,46.80%,64.80%,54.40%,37.30%
9020022,The Gilbert School District,8,Math,80,78,78,77,77,66,41.30%,16.70%,43.60%,45.50%,16.90%,16.70%,57.20%,28.60%,59.10%,65.60%,24.10%,22.60%
1400011,Thomaston School District,4,ELA,61,66,52,63,53,59,41.00%,36.40%,25.00%,39.70%,52.80%,49.20%,67.60%,64.60%,57.00%,65.00%,76.80%,77.90%
1400011,Thomaston School District,4,Math,62,66,52,63,51,59,25.80%,30.30%,28.80%,38.10%,68.60%,74.60%,57.50%,62.90%,61.80%,77.20%,95.30%,94.10%
1400011,Thomaston School District,5,ELA,71,64,65,52,68,58,43.70%,56.30%,32.30%,46.20%,51.50%,32.80%,68.50%,77.80%,56.50%,70.50%,75.60%,57.60%
1400011,Thomaston School District,5,Math,71,64,65,51,68,58,46.50%,43.80%,30.80%,49.00%,60.30%,15.50%,69.60%,63.00%,61.30%,69.90%,81.10%,39.20%
1400011,Thomaston School District,6,ELA,77,68,61,64,58,60,41.60%,42.60%,50.80%,46.90%,39.70%,25.00%,64.80%,68.10%,65.60%,63.40%,53.70%,45.10%
1400011,Thomaston School District,6,Math,77,68,61,64,59,60,51.90%,48.50%,34.40%,40.60%,42.40%,30.00%,76.30%,65.80%,60.30%,55.70%,60.90%,48.30%
1400011,Thomaston School District,7,ELA,95,71,67,59,62,63,37.90%,57.70%,47.80%,42.40%,41.90%,27.00%,62.60%,78.10%,66.50%,64.20%,59.50%,45.40%
1400011,Thomaston School District,7,Math,96,71,67,58,62,62,37.50%,31.00%,41.80%,62.10%,61.30%,51.60%,59.10%,49.40%,57.50%,77.50%,79.20%,75.80%
1400011,Thomaston School District,8,ELA,68,97,72,71,49,63,35.30%,40.20%,40.30%,28.20%,28.60%,20.60%,59.40%,58.80%,53.60%,43.90%,38.10%,32.70%
1400011,Thomaston School District,8,Math,68,97,72,71,38,62,23.50%,16.50%,30.60%,36.60%,31.60%,25.80%,35.20%,33.70%,50.80%,51.70%,48.60%,40.30%
1410011,Thompson School District,4,ELA,71,66,70,69,70,67,19.70%,37.90%,27.10%,36.20%,42.90%,25.40%,38.10%,59.20%,52.20%,58.60%,69.00%,43.10%
1410011,Thompson School District,4,Math,71,66,70,68,70,67,21.10%,43.90%,18.60%,30.90%,32.90%,19.40%,46.60%,72.80%,57.60%,60.80%,58.30%,45.30%
1410011,Thompson School District,5,ELA,78,69,62,71,62,71,43.60%,33.30%,29.00%,14.10%,43.50%,19.70%,69.20%,62.60%,52.00%,36.30%,67.70%,37.40%
1410011,Thompson School District,5,Math,78,69,62,70,62,68,28.20%,20.30%,30.60%,25.70%,53.20%,26.50%,47.20%,42.20%,44.70%,43.40%,71.70%,43.20%
1410011,Thompson School District,6,ELA,78,78,66,65,55,59,30.80%,35.90%,28.80%,40.00%,29.10%,25.40%,48.80%,55.60%,50.40%,58.30%,54.80%,50.60%
1410011,Thompson School District,6,Math,78,77,66,65,55,58,32.10%,37.70%,31.80%,15.40%,36.40%,31.00%,57.10%,58.70%,55.90%,35.20%,59.30%,58.40%
1410011,Thompson School District,7,ELA,77,87,77,68,71,59,15.60%,28.70%,15.60%,10.30%,28.20%,20.30%,34.40%,44.90%,29.30%,27.40%,39.90%,37.50%
1410011,Thompson School District,7,Math,75,87,76,68,71,58,32.00%,51.70%,36.80%,41.20%,49.30%,43.10%,51.30%,72.20%,63.00%,59.40%,63.60%,64.60%
