"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0470011,East Windsor School District,Math,347,350,357,364,335,351,32.90%,28.90%,38.10%,24.50%,63.60%,37.60%,56.40%,52.70%,57.50%,45.60%,80.70%,57.00%
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),ELA,30,25,37,33,24,12,16.70%,24.00%,32.40%,21.20%,29.20%,*,35.00%,44.90%,51.20%,45.30%,52.80%,*
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Math,26,22,37,32,22,9,23.10%,31.80%,27.00%,31.30%,31.80%,*,40.20%,46.40%,45.60%,49.20%,41.10%,*
0390011,Eastford School District,ELA,67,74,78,76,54,67,37.30%,39.20%,29.50%,30.30%,27.80%,62.70%,59.00%,53.60%,46.20%,53.60%,45.00%,85.00%
0390011,Eastford School District,Math,67,74,78,76,54,66,47.80%,50.00%,41.00%,47.40%,25.90%,48.50%,68.60%,70.50%,66.40%,67.70%,49.70%,71.10%
0460011,Easton School District,ELA,501,499,495,501,456,468,58.10%,48.10%,48.10%,52.30%,54.20%,53.20%,76.70%,64.50%,66.20%,68.60%,71.10%,69.30%
0460011,Easton School District,Math,496,497,494,501,455,468,66.50%,52.70%,46.80%,53.50%,59.60%,56.60%,86.20%,70.70%,64.80%,69.60%,78.30%,73.50%
2420014,EdAdvance,ELA,*,*,*,*,12,12,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,Math,*,*,*,10,11,11,*,*,*,*,*,*,*,*,*,*,*,*
0480011,Ellington School District,ELA,1013,1017,1006,1003,927,950,45.10%,34.70%,45.90%,41.00%,45.50%,44.60%,65.10%,51.70%,64.80%,59.50%,63.60%,63.30%
0480011,Ellington School District,Math,1014,1016,1001,997,929,946,47.50%,40.60%,44.70%,48.00%,54.00%,54.70%,69.70%,60.60%,62.40%,68.20%,72.30%,72.50%
2890013,Elm City College Preparatory School District,ELA,310,305,300,296,289,294,54.50%,36.40%,43.70%,45.90%,48.40%,37.80%,75.30%,56.30%,64.30%,64.90%,68.70%,56.00%
2890013,Elm City College Preparatory School District,Math,310,304,298,296,286,292,46.50%,41.80%,49.30%,42.20%,25.50%,31.80%,67.60%,59.30%,71.70%,61.20%,45.30%,51.80%
2910013,Elm City Montessori School District,ELA,*,*,*,17,76,94,*,*,*,*,30.30%,34.00%,*,*,*,*,45.10%,51.80%
2910013,Elm City Montessori School District,Math,*,*,*,17,75,94,*,*,*,*,21.30%,31.90%,*,*,*,*,46.50%,53.20%
0490011,Enfield School District,ELA,1714,1748,1691,1758,1607,1641,44.90%,27.40%,34.20%,34.40%,36.50%,31.40%,66.80%,46.50%,55.00%,55.30%,57.60%,52.80%
0490011,Enfield School District,Math,1709,1750,1686,1749,1565,1629,34.30%,30.00%,27.80%,35.20%,47.90%,34.40%,58.20%,50.60%,49.00%,55.60%,67.90%,54.20%
0500011,Essex School District,ELA,182,140,146,135,114,108,51.10%,47.10%,58.20%,60.70%,56.10%,39.80%,70.10%,69.00%,76.60%,84.60%,72.80%,59.20%
0500011,Essex School District,Math,183,140,146,135,114,108,58.50%,42.90%,37.70%,68.10%,55.30%,46.30%,81.60%,66.40%,63.60%,89.70%,80.30%,64.40%
0510011,Fairfield School District,ELA,3804,3769,3780,3731,3343,3271,50.30%,46.80%,49.20%,47.10%,48.60%,45.80%,70.00%,65.20%,68.80%,65.40%,67.00%,62.70%
0510011,Fairfield School District,Math,3795,3764,3769,3723,3330,3265,49.00%,53.70%,51.20%,52.80%,53.80%,47.80%,70.60%,74.30%,70.40%,72.10%,72.70%,65.70%
0520011,Farmington School District,ELA,1512,1570,1573,1530,1466,1465,53.60%,49.50%,55.30%,53.00%,48.60%,51.60%,71.90%,66.70%,72.00%,70.70%,66.00%,68.60%
0520011,Farmington School District,Math,1519,1568,1571,1527,1454,1455,64.60%,55.00%,56.40%,58.20%,55.00%,62.30%,84.20%,73.80%,74.20%,74.60%,72.80%,79.10%
0530011,Franklin School District,ELA,88,88,78,79,83,84,35.20%,50.00%,41.00%,41.80%,30.10%,33.30%,53.30%,69.80%,60.00%,66.20%,53.80%,56.80%
0530011,Franklin School District,Math,88,88,78,79,83,84,27.30%,28.40%,29.50%,67.10%,44.60%,41.70%,47.60%,46.80%,46.40%,87.00%,68.90%,63.40%
0540011,Glastonbury School District,ELA,2315,2265,2215,2164,1854,2022,50.70%,46.40%,48.10%,49.00%,49.90%,49.40%,68.30%,62.00%,65.50%,66.00%,66.90%,66.70%
0540011,Glastonbury School District,Math,2313,2264,2214,2164,1847,2018,57.70%,51.20%,54.40%,57.20%,56.20%,57.20%,77.80%,69.50%,71.40%,74.30%,74.10%,73.50%
2310018,Goodwin University Educational Services (GUES),ELA,*,*,*,*,226,307,*,*,*,*,38.50%,23.10%,*,*,*,*,64.70%,47.10%
2310018,Goodwin University Educational Services (GUES),Math,*,*,*,*,226,307,*,*,*,*,40.30%,29.30%,*,*,*,*,65.10%,49.10%
0560011,Granby School District,ELA,687,660,646,665,633,625,58.70%,40.20%,42.90%,49.30%,45.50%,43.50%,76.90%,58.40%,61.80%,68.60%,65.70%,64.70%
0560011,Granby School District,Math,686,659,645,661,631,619,51.50%,37.60%,47.90%,45.80%,47.40%,43.10%,72.80%,58.30%,67.50%,67.40%,69.10%,61.70%
2940013,Great Oaks Charter School District,ELA,206,279,272,276,241,253,40.30%,20.10%,23.50%,37.30%,29.00%,43.90%,60.00%,37.90%,45.10%,58.30%,49.30%,69.90%
