"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,English Learner Status (EL),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2970013,Capital Preparatory Harbor School District,Math,ELL,*,*,*,7,24,28,*,*,*,*,45.80%,21.40%,*,*,*,*,69.90%,41.00%
2970013,Capital Preparatory Harbor School District,Math,Non-ELL,87,96,138,211,230,268,13.80%,79.20%,40.60%,43.60%,40.90%,38.10%,31.60%,90.30%,63.40%,64.50%,60.50%,61.20%
2410014,Capitol Region Education Council,ELA,ELL,101,111,143,199,237,313,29.70%,31.50%,32.20%,33.20%,24.90%,27.20%,50.50%,55.30%,57.60%,56.80%,49.90%,52.10%
2410014,Capitol Region Education Council,ELA,Non-ELL,2438,2533,2623,2730,2421,2563,40.40%,36.40%,39.30%,37.30%,29.50%,33.00%,61.80%,56.70%,58.90%,56.60%,49.70%,54.80%
2410014,Capitol Region Education Council,Math,ELL,101,111,141,196,221,305,27.70%,44.10%,29.10%,27.00%,29.40%,30.50%,52.10%,63.60%,53.80%,46.60%,49.10%,52.70%
2410014,Capitol Region Education Council,Math,Non-ELL,2411,2502,2609,2711,2333,2515,37.70%,39.60%,32.90%,31.60%,27.60%,32.30%,58.70%,59.20%,52.30%,49.60%,46.50%,52.20%
0240011,Chaplin School District,ELA,Non-ELL,43,51,46,52,55,46,55.80%,43.10%,41.30%,30.80%,34.50%,37.00%,79.00%,60.30%,64.90%,48.70%,58.90%,54.70%
0240011,Chaplin School District,Math,Non-ELL,42,50,46,51,55,46,31.00%,60.00%,54.30%,43.10%,36.40%,52.20%,43.80%,80.20%,81.60%,70.70%,72.90%,74.70%
0250011,Cheshire School District,ELA,ELL,7,8,12,14,24,29,*,*,*,*,29.20%,41.40%,*,*,*,*,55.00%,65.50%
0250011,Cheshire School District,ELA,Non-ELL,1681,1649,1587,1486,1389,1456,52.80%,44.30%,52.80%,54.40%,43.30%,50.10%,70.10%,62.20%,69.80%,70.50%,60.20%,69.00%
0250011,Cheshire School District,Math,ELL,8,8,12,14,24,29,*,*,*,*,41.70%,58.60%,*,*,*,*,63.50%,71.70%
0250011,Cheshire School District,Math,Non-ELL,1681,1646,1583,1484,1383,1450,53.20%,49.50%,50.80%,59.20%,50.80%,56.70%,73.00%,68.10%,67.90%,77.50%,68.90%,73.20%
0260011,Chester School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0260011,Chester School District,ELA,Non-ELL,100,89,*,*,*,84,50.00%,61.80%,59.00%,55.60%,39.70%,46.40%,68.60%,80.00%,77.40%,78.10%,64.10%,64.20%
0260011,Chester School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0260011,Chester School District,Math,Non-ELL,100,89,*,*,*,84,55.00%,61.80%,47.00%,66.70%,70.50%,48.80%,74.40%,80.70%,70.60%,82.90%,91.40%,67.40%
0270011,Clinton School District,ELA,ELL,11,18,28,37,41,45,*,*,14.30%,35.10%,31.70%,17.80%,*,*,48.50%,64.50%,61.00%,43.70%
0270011,Clinton School District,ELA,Non-ELL,714,678,655,622,473,452,43.30%,32.20%,29.90%,42.00%,37.00%,31.00%,63.40%,52.80%,47.50%,61.50%,57.40%,51.40%
