"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,
,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bristol School District,0170011,Breakthrough,0172611,ELA,*,*,*,*,*,*,*,*,9,*,10,*
Bristol School District,0170011,Breakthrough,0172611,Math,*,*,*,*,*,*,*,*,9,*,10,*
Bristol School District,0170011,Bristol Arts and Innovation Magnet School,0174011,ELA,*,*,*,*,*,*,*,*,*,*,247,48.2
Bristol School District,0170011,Bristol Arts and Innovation Magnet School,0174011,Math,*,*,*,*,*,*,*,*,*,*,245,33.1
Bristol School District,0170011,Chippens Hill Middle School,0175111,ELA,697,50.2,748,52,755,52.8,758,48.3,684,50.6,579,44.7
Bristol School District,0170011,Chippens Hill Middle School,0175111,Math,697,34.7,749,35.6,753,36.5,759,32.1,679,31.1,576,31.8
Bristol School District,0170011,Chippens Hill Middle School EXCEL,0171011,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Chippens Hill Middle School EXCEL,0171011,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Chippens Hilll Middle School Extended Resource,0170811,ELA,*,*,*,*,*,*,*,*,*,*,7,*
Bristol School District,0170011,Chippens Hilll Middle School Extended Resource,0170811,Math,*,*,*,*,*,*,*,*,*,*,6,*
Bristol School District,0170011,Chms Goal,0173411,ELA,8,*,9,*,9,*,11,*,6,*,7,*
Bristol School District,0170011,Chms Goal,0173411,Math,8,*,9,*,9,*,11,*,6,*,7,*
Bristol School District,0170011,Destinations Academy,0179011,ELA,*,*,*,*,*,*,*,*,10,*,*,*
Bristol School District,0170011,Destinations Academy,0179011,Math,*,*,*,*,*,*,*,*,10,*,*,*
Bristol School District,0170011,EXCEL - MS,0171611,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,EXCEL - MS,0171611,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,EXCEL - Primary,0172311,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,EXCEL - Primary,0172311,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Edgewood School,0170311,ELA,174,59.8,149,59.7,154,61,142,57.7,137,49.6,127,48.8
Bristol School District,0170011,Edgewood School,0170311,Math,174,48.3,148,52,153,50.3,142,53.5,137,41.6,127,44.1
Bristol School District,0170011,Ellen P. Hubbell School,0171411,ELA,177,52,171,46.2,193,50.3,198,47,159,64.2,188,62.8
Bristol School District,0170011,Ellen P. Hubbell School,0171411,Math,177,38.4,171,34.5,192,37.5,197,43.1,159,52.8,188,58.5
Bristol School District,0170011,Greene-Hills GOAL,0170911,ELA,*,*,*,*,*,*,7,*,6,*,*,*
