"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
East Granby School District,0400011,Math,395,66.1,403,68,395,68.4,392,67.9,399,54.6,389,55.8
East Haddam School District,0410011,ELA,479,66.2,462,71,438,66.9,440,69.8,448,62.3,447,57.5
East Haddam School District,0410011,Math,477,48.6,462,56.7,441,56,435,58.9,447,46.8,445,48.5
East Hampton School District,0420011,ELA,831,57,876,63.7,875,63.3,878,65.9,815,58.3,801,59.9
East Hampton School District,0420011,Math,830,44.2,878,50.1,874,50.2,877,57.4,810,48.3,796,49.6
East Hartford School District,0430011,ELA,2895,31.8,2965,30.3,3005,34.7,2920,36.4,2636,34.9,2557,36.4
East Hartford School District,0430011,Math,2873,17,2890,17.1,2980,22.3,2905,22.2,2633,23.2,2538,28.9
East Haven School District,0440011,ELA,1311,47.1,1251,46.6,1215,44.2,1215,46.4,1188,40.7,1191,37.9
East Haven School District,0440011,Math,1306,30.8,1248,32.6,1214,31.7,1212,34.2,1189,29.9,1186,29.8
East Lyme School District,0450011,ELA,1169,73.1,1195,73.9,1143,77,1114,74.4,1061,63.1,1035,61.4
East Lyme School District,0450011,Math,1165,65,1195,66,1143,65.8,1114,67.8,1060,55.4,1030,59.6
East Windsor School District,0470011,ELA,459,48.8,462,43.5,448,45.1,456,38.8,454,42.3,471,41.2
East Windsor School District,0470011,Math,459,31.4,460,28,450,28.2,457,26.3,452,35.6,468,35
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ELA,43,*,53,*,65,*,55,*,33,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Math,39,0,54,*,64,*,53,*,32,0,*,*
Eastford School District,0390011,ELA,86,66.3,89,70.8,93,58.1,90,64.4,78,66.7,82,80.5
Eastford School District,0390011,Math,86,50,89,49.4,94,47.9,90,61.1,78,56.4,81,60.5
Easton School District,0460011,ELA,617,83,600,84.8,612,85.3,609,80.8,586,77.1,580,80.7
Easton School District,0460011,Math,609,76.5,598,75.4,612,75.5,607,74.3,584,70,579,75.8
EdAdvance,2420014,ELA,*,*,*,*,*,*,19,*,32,*,31,*
EdAdvance,2420014,Math,*,*,*,*,*,*,*,0,*,*,31,*
Ellington School District,0480011,ELA,1253,73.7,1248,69.7,1255,70,1216,67.6,1178,69.4,1174,67.8
Ellington School District,0480011,Math,1254,64.7,1247,62.1,1250,60.9,1216,63,1176,63.3,1169,68.4
Elm City College Preparatory School District,2890013,ELA,376,57.7,379,56.5,376,62.8,367,59.4,366,40.2,365,37
Elm City College Preparatory School District,2890013,Math,376,44.9,378,46.8,374,54.8,367,54.5,364,17,364,17.6
Enfield School District,0490011,ELA,2220,56.4,2224,50.4,2211,50.6,2261,49.7,2098,41.1,2042,41.3
Enfield School District,0490011,Math,2215,39.9,2227,38.6,2203,36.8,2251,39.5,2091,30.6,2032,33.6
Essex School District,0500011,ELA,223,77.1,201,74.6,191,72.3,183,82,158,75.9,147,73.5
Essex School District,0500011,Math,223,68.2,201,65.7,191,58.6,183,72.1,157,70.1,147,67.3
Fairfield School District,0510011,ELA,4683,74,4690,74.5,4628,77.9,4566,78,4131,72.4,4122,72.6
Fairfield School District,0510011,Math,4671,65,4686,67.9,4621,70.5,4557,72.5,4121,66.3,4122,67.1
Farmington School District,0520011,ELA,1895,78.6,1934,79,1918,80.3,1893,81.7,1867,74.5,1883,75.1
Farmington School District,0520011,Math,1894,72.5,1934,73.7,1915,74.1,1891,74.5,1861,66.8,1876,72.9
Franklin School District,0530011,ELA,108,60.2,101,61.4,100,65,93,66.7,102,58.8,106,56.6
Franklin School District,0530011,Math,108,45.4,101,36.6,100,40,93,58.1,102,54.9,106,57.5
Glastonbury School District,0540011,ELA,2817,79.2,2770,77.1,2703,77.4,2650,78.1,2499,72.5,2511,73
Glastonbury School District,0540011,Math,2817,74.6,2770,73.6,2703,74.5,2649,75.5,2497,68.8,2509,72.9
Granby School District,0560011,ELA,831,77.6,811,73.5,827,73.4,809,75.9,771,63.7,782,65.6
Granby School District,0560011,Math,831,64.1,809,62.5,827,62.5,806,62.9,771,49.8,777,53.3
Great Oaks Charter School District,2940013,ELA,210,19,297,17.2,277,16.6,298,19.8,270,24.4,270,29.3
Great Oaks Charter School District,2940013,Math,207,9.2,293,13.7,279,18.6,298,11.7,271,11.4,274,13.5
Greenwich School District,0570011,ELA,3956,75.9,4074,75.6,4089,78,4108,77.5,3881,75.4,3755,74.1
Greenwich School District,0570011,Math,3954,66.3,4071,70.7,4083,71.4,4105,72.6,3872,68,3748,70.3
Griswold School District,0580011,ELA,814,58.7,795,56.4,780,56.7,769,54.4,730,34.7,710,41.7
Griswold School District,0580011,Math,815,48.1,792,55.8,780,56.5,769,55.1,730,30.8,710,37.9
Groton School District,0590011,ELA,1938,54.2,1938,55.7,1925,58.1,1902,59.7,1737,53.4,1780,48.6
Groton School District,0590011,Math,1938,44.9,1933,46.1,1922,46.5,1895,49,1735,40.1,1767,40.5
Guilford School District,0600011,ELA,1624,81.7,1571,78.1,1548,81.8,1535,81.2,1382,75,1395,73
Guilford School District,0600011,Math,1623,70.5,1571,75.6,1548,78.1,1534,77.6,1381,67.6,1394,66.3
Hamden School District,0620011,ELA,2403,50.6,2386,49.1,2443,50.5,2465,49,2396,43.7,2339,42.4
Hamden School District,0620011,Math,2391,38.1,2373,42.9,2432,41.9,2465,45,2381,34.5,2336,37.8
Hampton School District,0630011,ELA,48,54.2,54,57.4,52,63.5,47,51.1,35,40,33,33.3
Hampton School District,0630011,Math,48,45.8,53,50.9,51,49,47,48.9,35,*,33,33.3
Hartford School District,0640011,ELA,9267,25.8,8953,21.9,8788,24.2,8564,24.5,7286,19.1,7039,17.7
Hartford School District,0640011,Math,9177,16,8821,15.5,8777,18.6,8502,18.2,7198,12.6,6979,13.9
Hartland School District,0650011,ELA,126,68.3,129,76,116,74.1,103,76.7,96,64.6,82,72
