"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Canton School District,0230011,Math,Y,81,7.4,75,13.3,75,12,85,14.1,97,16.5,115,16.5
Capital Preparatory Harbor School District,2970013,ELA,N,*,*,106,*,163,*,241,*,331,*,332,*
Capital Preparatory Harbor School District,2970013,ELA,Y,*,*,9,*,22,*,37,*,40,*,41,*
Capital Preparatory Harbor School District,2970013,Math,N,*,*,106,*,164,*,240,*,331,15.4,332,*
Capital Preparatory Harbor School District,2970013,Math,Y,*,*,9,*,22,0,37,*,40,0,41,*
Capitol Region Education Council,2410014,ELA,N,2625,55.8,2748,54,2815,56.2,2904,54.8,2778,35,2749,36.3
Capitol Region Education Council,2410014,ELA,Y,439,12.3,529,11.7,585,13.5,664,14,711,3.2,742,6.1
Capitol Region Education Council,2410014,Math,N,2615,36.3,2733,40.4,2813,41,2888,39.5,2761,20.2,2732,23.5
Capitol Region Education Council,2410014,Math,Y,423,7.6,518,8.1,579,7.6,656,6.6,685,2.5,721,4.4
Chaplin School District,0240011,ELA,N,62,*,*,*,64,*,67,*,66,*,59,*
Chaplin School District,0240011,ELA,Y,15,*,*,*,6,*,13,*,11,*,12,*
Chaplin School District,0240011,Math,N,62,*,*,*,64,*,66,*,66,*,59,*
Chaplin School District,0240011,Math,Y,14,*,*,*,6,*,13,*,11,*,12,*
Cheshire School District,0250011,ELA,N,1852,83.2,1800,82,1726,83.7,1632,87.7,1610,79.1,1632,81.6
Cheshire School District,0250011,ELA,Y,183,30.1,188,27.7,194,27.8,193,39.9,199,34.7,208,35.6
Cheshire School District,0250011,Math,N,1850,69.2,1797,71.1,1724,73.4,1631,80.4,1607,75.7,1629,79.7
Cheshire School District,0250011,Math,Y,183,20.2,188,22.9,194,23.2,190,30.5,196,26,207,27.1
