"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Free/Reduced Price Meal Eligibility (3-level),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Cheshire School District,0250011,ELA,R,37,67.6,40,47.5,48,*,49,63.3,55,56.4,57,70.2
Cheshire School District,0250011,Math,F,152,29.6,111,37.8,190,42.1,193,48.2,235,53.6,236,58.1
Cheshire School District,0250011,Math,N,1844,67.8,1835,68.7,1680,71.7,1579,79.1,1513,73.3,1544,76.2
Cheshire School District,0250011,Math,R,37,59.5,39,48.7,48,54.2,49,57.1,55,58.2,56,73.2
Chester School District,0260011,ELA,F,*,*,*,*,*,*,19,*,*,*,*,*
Chester School District,0260011,ELA,N,119,83.2,109,83.5,98,83.7,75,85.3,82,81.7,96,82.3
Chester School District,0260011,ELA,R,*,*,*,*,*,*,8,*,*,*,*,*
Chester School District,0260011,Math,F,*,*,*,*,*,*,19,*,*,*,*,*
Chester School District,0260011,Math,N,119,73.1,109,75.2,98,72.4,75,78.7,82,78,96,82.3
Chester School District,0260011,Math,R,*,*,*,*,*,*,8,*,*,*,*,*
Clinton School District,0270011,ELA,F,150,44,134,39.6,198,40.4,216,46.3,191,39.8,203,35
Clinton School District,0270011,ELA,N,686,76.2,674,69.4,554,67,509,68.8,405,59.8,365,58.1
