"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Cornwall School District,0310011,Math,Female,21,*,20,65,17,*,24,*,33,60.6,31,45.2
Cornwall School District,0310011,Math,Male,40,*,35,51.4,29,*,40,*,32,71.9,25,76
Coventry School District,0320011,ELA,Female,389,77.6,377,78.8,370,80.5,358,81.3,360,76.7,346,74.6
Coventry School District,0320011,ELA,Male,355,66.2,368,67.7,369,71.8,365,71.2,382,66.2,366,68.3
Coventry School District,0320011,Math,Female,389,57.8,374,66,369,65,358,68.4,359,55.7,346,58.1
Coventry School District,0320011,Math,Male,355,52.4,365,61.1,368,62,364,69.8,381,58,366,59.8
Cromwell School District,0330011,ELA,Female,441,70.5,432,65.5,437,70.5,439,70.6,453,56.5,471,52.2
Cromwell School District,0330011,ELA,Male,479,58.5,481,54.1,477,57.7,496,64.7,444,53.6,442,53.6
Cromwell School District,0330011,Math,Female,441,43.8,428,47.2,437,52.2,439,55.1,451,45.7,467,46.3
Cromwell School District,0330011,Math,Male,478,48.1,480,50.8,476,56.9,495,64.6,444,51.8,438,50
Danbury School District,0340011,ELA,Female,2521,51.4,2612,48.8,2589,51.8,2654,50.3,2713,35.2,2653,36.4
Danbury School District,0340011,ELA,Male,2512,42.6,2614,40.2,2632,41,2722,42.2,2827,29.5,2765,30
Danbury School District,0340011,Math,Female,2513,33.4,2608,35.4,2589,35.9,2644,36.1,2711,21.1,2648,22.4
Danbury School District,0340011,Math,Male,2504,35.1,2610,36.1,2626,36.8,2716,39,2824,25.5,2759,27.2
Darien School District,0350011,ELA,Female,1109,90.1,1086,88.9,1095,88.5,1085,88.4,1047,83.5,1048,83.5
Darien School District,0350011,ELA,Male,1146,83.9,1141,80.8,1142,78.5,1106,80.6,1078,78.1,1065,75.3
Darien School District,0350011,Math,Female,1108,81,1084,81.5,1095,81.3,1084,84.7,1045,79,1046,78.8
Darien School District,0350011,Math,Male,1146,82.4,1141,80.3,1141,81.4,1106,85,1076,80,1064,82.7
Deep River School District,0360011,ELA,Female,100,79,88,78.4,89,78.7,76,76.3,57,75.4,59,78
Deep River School District,0360011,ELA,Male,99,46.5,88,60.2,82,65.9,78,66.7,66,66.7,53,64.2
Deep River School District,0360011,Math,Female,100,59,88,59.1,89,64,76,73.7,57,70.2,59,72.9
Deep River School District,0360011,Math,Male,99,44.4,88,59.1,82,58.5,78,75.6,66,69.7,53,*
Derby School District,0370011,ELA,Female,337,47.5,331,42.6,330,43.6,315,41.6,273,35.2,277,33.2
Derby School District,0370011,ELA,Male,341,32.8,352,32.1,344,35.2,341,31.1,290,35.9,298,33.9
Derby School District,0370011,Math,Female,335,26,331,24.8,332,29.2,315,32.4,270,20,276,18.1
Derby School District,0370011,Math,Male,338,18.9,351,23.9,344,26.5,342,31.9,292,26.7,298,25.2
East Granby School District,0400011,ELA,Female,197,78.7,194,77.8,193,73.6,194,74.7,187,65.2,177,65
East Granby School District,0400011,ELA,Male,198,63.6,213,67.1,203,64,198,68.7,212,64.6,213,62
East Granby School District,0400011,Math,Female,197,69,194,68,193,68.9,194,67,187,49.7,175,49.1
East Granby School District,0400011,Math,Male,198,63.1,209,67.9,202,67.8,198,68.7,212,59,214,61.2
East Haddam School District,0410011,ELA,Female,225,72,215,75.3,204,74.5,210,71.4,223,68.2,217,65.4
East Haddam School District,0410011,ELA,Male,254,61,247,67.2,234,60.3,230,68.3,225,56.4,230,50
East Haddam School District,0410011,Math,Female,224,47.8,215,58.6,206,55.8,207,57.5,223,45.7,217,48.8
East Haddam School District,0410011,Math,Male,253,49.4,247,55.1,235,56.2,228,60.1,224,47.8,228,48.2
East Hampton School District,0420011,ELA,Female,389,65,426,68.5,444,66.9,456,73,418,61.5,394,60.4
East Hampton School District,0420011,ELA,Male,442,50,450,59.1,431,59.6,422,58.3,397,54.9,407,59.5
East Hampton School District,0420011,Math,Female,389,44,426,49.3,444,47.7,456,57,416,43,390,42.3
