"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0070011,Berlin School District,0070111,Richard D. Hubbard School,Math,91,72,79,68,69,78,65.90%,51.40%,48.10%,45.60%,78.30%,56.40%,87.00%,70.90%,71.80%,69.70%,92.80%,73.50%
0080011,Bethany School District,0080111,Bethany Community School,ELA,167,157,161,150,134,162,49.70%,43.30%,49.70%,54.70%,50.00%,57.40%,69.70%,63.00%,71.20%,73.20%,72.50%,74.30%
0080011,Bethany School District,0080111,Bethany Community School,Math,167,157,160,150,133,161,55.70%,45.20%,47.50%,59.30%,60.90%,55.90%,78.70%,62.20%,70.60%,78.80%,79.50%,79.40%
0090011,Bethel School District,0095111,Bethel Middle School,ELA,613,636,607,689,698,717,54.50%,32.70%,43.00%,44.30%,37.40%,37.70%,72.50%,48.70%,61.10%,64.00%,52.80%,55.80%
0090011,Bethel School District,0095111,Bethel Middle School,Math,613,634,607,686,678,698,54.00%,39.30%,56.30%,46.80%,49.40%,51.40%,74.00%,56.70%,76.40%,65.20%,65.80%,68.50%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,ELA,396,449,489,446,444,428,46.20%,40.50%,45.60%,36.10%,43.20%,39.50%,68.20%,65.70%,68.70%,59.20%,69.50%,64.30%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,Math,396,447,487,448,442,428,65.90%,43.80%,42.90%,41.30%,61.80%,46.30%,88.70%,70.90%,68.50%,64.40%,85.40%,69.10%
0110011,Bloomfield School District,0110711,Carmen Arace Intermediate School,ELA,204,212,223,229,202,189,34.30%,38.20%,34.50%,38.40%,51.00%,30.20%,62.40%,53.90%,56.20%,60.20%,73.10%,49.80%
0110011,Bloomfield School District,0110711,Carmen Arace Intermediate School,Math,204,212,223,228,202,188,51.50%,45.80%,56.50%,45.60%,56.40%,33.00%,75.20%,64.10%,76.10%,65.50%,79.10%,52.10%
0110011,Bloomfield School District,0115211,Carmen Arace Middle School,ELA,179,185,204,201,201,225,34.60%,29.20%,27.90%,36.30%,27.90%,22.20%,53.10%,50.10%,50.20%,56.60%,46.40%,38.90%
0110011,Bloomfield School District,0115211,Carmen Arace Middle School,Math,180,185,204,201,200,224,37.20%,24.90%,34.80%,33.80%,35.00%,34.40%,55.50%,39.10%,49.00%,52.00%,49.40%,50.90%
0110011,Bloomfield School District,0116311,Global Experience Magnet School,ELA,80,90,89,*,67,81,50.00%,36.70%,23.60%,31.40%,25.40%,22.20%,67.80%,55.80%,46.00%,49.70%,47.50%,45.90%
0110011,Bloomfield School District,0116311,Global Experience Magnet School,Math,80,91,89,*,67,81,30.00%,26.40%,21.30%,20.70%,28.40%,12.30%,46.00%,44.30%,40.10%,43.70%,39.70%,23.30%
0110011,Bloomfield School District,0110511,Metacomet School,ELA,97,132,96,114,98,102,32.00%,22.70%,34.40%,27.20%,50.00%,29.40%,61.70%,43.90%,58.70%,49.00%,77.20%,51.20%
